discipline	perc	type
Digital Humanities	41.8089115495456	dh
Linguistics	25.6250065976291	ah
Psychology	7.73707560451078	ss
Pedagogical & Educational Research	6.66525117533764	ss
Literature	2.53995524168435	ah
Philosophy	2.16507795758517	ah
Musicology	1.73280130052465	ah
History	1.5050775353369	ah
Media Studies and Communication	1.20636807956693	ah
Library and Information Science	1.16900390675607	ah
Archaeology	1.00763789524597	ah
Anthropology	0.970691172420281	ss
Art and Art History	0.726962758663048	ah
Interdisciplinary research in the Social Sciences	0.697954782969194	ss
History & Philosophy of Science	0.635114165373532	ah
Interdisciplinary research in the Humanities	0.567264147955792	ah
Political Sciences and International Relations	0.466742671353623	ss
Business and Management	0.410646030242573	ss
Gender Studies	0.343208664534314	ss
Religious Studies and Theology	0.339909849996306	ah
Law	0.328456365920343	ss
Sociology	0.257153989142462	ss
Environmental Studies	0.228229983273211	ss
Human Geography and Urban Studies	0.212913887265473	ss
Science and Technology Studies	0.186321843382362	ss
Economics	0.160502321885607	ss
Social Statistics and Informatics	0.100763789524597	ss
Cultural Studies	0.0675861122547003	ah
Classical Studies	0.0480307396733911	ah
Film and Theatre Studies	0.0460514509505865	ah
Demography	0.0433284294955765	ss
