discipline	perc	type
Digital Humanities	25.4522924411406	dh
Psychology	22.2761034401374	ss
Linguistics	14.8620527723691	ah
Pedagogical & Educational Research	6.60976869062385	ss
Philosophy	5.45650901831211	ah
Anthropology	2.97256620909044	ss
Literature	2.69711207490024	ah
Media Studies and Communication	2.2813450490031	ah
Business and Management	1.82104502271793	ss
History & Philosophy of Science	1.72320322180921	ah
History	1.31731034007989	ah
Musicology	1.30868787002619	ah
Interdisciplinary research in the Social Sciences	1.274404292527	ss
Political Sciences and International Relations	1.21416769929784	ss
Economics	1.08989523487667	ss
Archaeology	1.06010382636779	ah
Sociology	0.92145588474587	ss
Library and Information Science	0.906546881453965	ah
Art and Art History	0.832386754784543	ah
Interdisciplinary research in the Humanities	0.743919769477407	ah
Gender Studies	0.711224700536984	ss
Human Geography and Urban Studies	0.445326874694914	ss
Environmental Studies	0.328846081634193	ss
Religious Studies and Theology	0.317792234613803	ah
Law	0.285832300702196	ss
Demography	0.265855581840718	ss
Social Statistics and Informatics	0.243063937301861	ss
Science and Technology Studies	0.203204375137466	ss
Film and Theatre Studies	0.165220983064853	ah
Cultural Studies	0.135154206250864	ah
Classical Studies	0.0776022304832731	ah
