discipline	perc	type
Other	79.9244856548431	other
Digital Humanities	5.35278555467085	dh
Psychology	4.14880172653142	ss
Linguistics	3.13003790802189	ah
Pedagogical & Educational Research	1.37281936122252	ss
Philosophy	1.13936834504862	ah
Anthropology	0.588870318116717	ss
Literature	0.571439069724587	ah
Media Studies and Communication	0.4385005742466	ah
Business and Management	0.382601734603893	ss
History & Philosophy of Science	0.360394780777233	ah
Musicology	0.281537798554212	ah
History	0.277600937548797	ah
Political Sciences	0.253653101237413	ss
Int. research in S.S.	0.229782728081087	ss
Economics	0.192822100972	ss
Library and Information Science	0.187908286886018	ah
Archaeology	0.186035411262083	ah
Art and Art History	0.174860331892927	ah
Sociology	0.157137577417289	ss
Int. research in H.	0.155024667937878	ah
Gender Studies	0.148889789907693	ss
Religious Studies and Theology	0.0684402263718013	ah
Law	0.0597607856231647	ss
Human Geography and Urban Studies	0.0582624851240166	ss
Film and Theatre Studies	0.0357145914898978	ah
Environmental Studies	0.0336047397666077	ss
Cultural Studies	0.0288402461045207	ah
Demography	0.0205481211311741	ss
Classical Studies	0.0160853260729972	ah
Social Statistics and Informatics	0.0158238879246765	ss
Science and Technology Studies	0.0075618308865169	ss
