discipline	perc	type
Other	84.0359340044744	other
Digital Humanities	6.68694071588368	dh
Linguistics	4.07383965191222	ah
Psychology	1.23049315058543	ss
Pedagogical & Educational Research	1.07721434745344	ss
Literature	0.400508182859274	ah
Philosophy	0.34489187173751	ah
Musicology	0.276729120059657	ah
History	0.239073153030788	ah
Media Studies and Communication	0.189800237514164	ah
Library and Information Science	0.187827762282461	ah
Archaeology	0.159046420581656	ah
Anthropology	0.158463832960477	ss
Art and Art History	0.114629789021568	ah
History & Philosophy of Science	0.10888562639821	ah
Interdisciplinary research in the Social Sciences	0.108466844257532	ss
Interdisciplinary research in the Humanities	0.089448006551614	ah
Political Sciences and International Relations	0.073597461915415	ss
Business and Management	0.069995254559013	ss
Religious Studies and Theology	0.0588413497390008	ah
Gender Studies	0.0541182286673059	ss
Law	0.0517920395227443	ss
Sociology	0.0389599797108187	ss
Human Geography and Urban Studies	0.035479586129754	ss
Environmental Studies	0.0343991509050234	ss
Science and Technology Studies	0.0277909427448018	ss
Economics	0.0237196388622563	ss
Social Statistics and Informatics	0.0142998779743746	ss
Cultural Studies	0.0118223673697667	ah
Classical Studies	0.00932140193885161	ah
Film and Theatre Studies	0.00842671380632791	ah
Demography	0.00524328859060403	ss
