id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
208432	4819	1.1061	0.3498	2	456	1.0711	584	0	0	0
1518848	5506	0.233	-0.3847	1	194	1.0022	93	0	0	0
52821	2124	-0.8369	-0.3991	4	1934	2.3162	6336	0	0	0
557518	4999	1.088	0.3923	2	316	1.0704	464	0.0021551724137931	0	0.0021551724137931
105713	1045	0.6169	-0.0347	2	1963	2.8492	12847	0	0	0
910852	5231	0.0746	-0.7552	1	541	1.0208	283	0	0	0
594283	3786	-0.8704	-0.275	4	1048	1.38	1786	0	0	0
525573	1119	0.2768	-0.5866	1	2106	2.2454	12346	0	0	0
564848	4851	-0.6307	-0.1432	4	424	1.0412	567	0	0	0
575014	3373	-0.3776	-0.2483	4	1432	1.4444	2580	0	0	0
319827	2857	0.1375	-0.6398	1	1427	1.3136	3781	0	0	0
216832	1622	0.139	-0.6433	1	2114	2.6497	8754	0	0	0
467778	931	0.3846	-0.3473	1	2302	2.8907	14028	0	0	0
442559	710	0.4393	-0.3165	1	1957	2.9378	16667	0	0	0
4895	1845	0.0168	-0.5083	1	1887	1.6276	7543	0	0	0
597651	4936	-0.8169	-0.4413	4	536	1.0549	513	0	0	0
482150	3361	-0.1534	0.2501	5	832	1.2045	2613	0.00114810562571757	0	0.00114810562571757
616754	268	0.1538	-0.6329	1	2290	3.0846	25829	0	0	0
1409614	5462	-0.384	-0.0363	4	22	1.0037	110	0	0	0
673329	3574	0.1978	-0.7736	1	725	1.1714	2185	0	0	0
43258	2185	-0.5597	0.5909	3	1322	1.85	6078	0	0	0
515410	1108	-0.1685	-0.2387	5	1298	1.8001	12400	0	0	0
600602	2482	-0.3239	-0.5112	1	2025	1.7962	4989	0	0	0
419317	4866	0.862	0.3707	2	281	1.1144	560	0	0	0
290758	60	0.0759	0.57	6	3147	8.2722	42353	0.000991665289353765	0.000330555096451255	0.00066111019290251
1531859	5025	-0.1796	-0.5114	1	716	1.0523	444	0	0	0
586323	2794	0.0497	-0.5975	1	1429	1.4073	3945	0	0	0
570076	2194	-0.7902	0.1794	3	1556	2.143	6042	0	0	0
661019	2839	-0.9228	-0.3579	4	1282	1.8026	3821	0	0	0
1491517	5504	-0.8133	0.1831	3	160	1.0059	93	0	0	0
951137	4253	0.6826	0.0292	2	820	1.3256	1095	0	0	0
233131	4596	0.1933	-0.5555	1	609	1.0519	738	0	0	0
570490	5432	-0.516	0.8355	3	17	1.0003	122	0	0	0
998226	5355	0.3112	-0.531	1	93	1.0677	170	0	0	0
1263012	5138	-0.8368	0.5471	3	160	1.0187	358	0	0	0
610864	2314	-0.5512	-0.4141	4	1835	1.7315	5546	0	0	0
244363	885	-0.929	0.4964	3	1628	2.8165	14467	0	0	0
171514	2073	0.2691	0.7012	6	1043	1.7449	6552	0.000457875457875458	0	0.000457875457875458
1410767	5196	0.2409	-0.2494	1	800	1.0433	314	0	0	0
674015	1711	0.8892	0.0142	2	1709	2.3339	8264	0	0	0
291486	3290	-0.3623	0.8107	6	508	1.2201	2739	0	0	0
588722	350	0.0751	-0.0897	5	2471	3.6042	23523	0	0	0
205908	2841	0.3602	-0.1841	2	1835	1.6404	3807	0	0	0
166330	1224	-0.7582	0.4863	3	1751	2.2318	11404	0	0	0
292213	3570	1.0666	0.4583	2	790	1.4358	2192	0.000456204379562044	0.000456204379562044	0
522357	4231	-0.4425	0.7535	3	397	1.0805	1122	0	0	0
403781	409	-0.6551	0.0143	3	2905	4.6087	22178	0	0	0
545056	281	0.3581	-0.5725	1	2416	3.4558	25536	0	0	0
182033	2098	-0.9616	-0.4139	4	1305	2.6525	6454	0	0	0
555752	4798	0.6919	0.1196	2	558	1.0841	599	0.011686143572621	0.011686143572621	0
546749	3165	-0.0278	-0.2931	5	923	1.1803	3070	0	0	0
90397	2901	0.0723	-0.6424	1	1713	1.4639	3668	0	0	0
255343	4582	0.8669	0.0642	2	811	1.1129	749	0	0	0
1265408	5704	0.1601	0.0505	5	7	1.0003	50	0	0	0
116524	3199	-0.7724	-0.3787	4	1416	1.4107	3004	0	0	0
674315	4925	0.778	-0.0498	2	626	1.0862	520	0.00384615384615385	0.00384615384615385	0
447139	2613	-0.5486	0.7835	3	609	1.4524	4527	0	0	0
200183	4981	0.9416	0.4169	2	398	1.1008	475	0	0	0
417206	4858	-0.2646	0.4142	5	342	1.0355	563	0	0	0
136418	1961	0.121	-0.724	1	1695	1.7791	7023	0	0	0
267633	2163	0.3595	-0.6342	1	894	1.2668	6165	0	0	0
666214	4459	-0.796	0.085	4	716	1.1018	872	0	0	0
100789	5363	1.0358	0.5992	2	97	1.0104	165	0	0	0
