nsd_id	title	year	pubs
339705	Agricultural Economics	2005	305
339705	Agricultural Economics	2006	67
339705	Agricultural Economics	2007	90
339705	Agricultural Economics	2008	87
339705	Agricultural Economics	2009	61
339705	Agricultural Economics	2010	44
339705	Agricultural Economics	2018	1
339711	Journal of Contemporary Asia	2007	775
339711	Journal of Contemporary Asia	2008	783
339711	Journal of Contemporary Asia	2009	48
339711	Journal of Contemporary Asia	2010	57
339711	Journal of Contemporary Asia	2011	57
339711	Journal of Contemporary Asia	2012	74
339711	Journal of Contemporary Asia	2013	68
339711	Journal of Contemporary Asia	2014	68
339711	Journal of Contemporary Asia	2015	52
339711	Journal of Contemporary Asia	2016	69
339711	Journal of Contemporary Asia	2017	60
339711	Journal of Contemporary Asia	2018	91
339732	Journal of Experimental Psychology: Human Perception and Performance	2003	271
339732	Journal of Experimental Psychology: Human Perception and Performance	2004	370
339732	Journal of Experimental Psychology: Human Perception and Performance	2005	29389
339732	Journal of Experimental Psychology: Human Perception and Performance	2006	8041
339732	Journal of Experimental Psychology: Human Perception and Performance	2007	756
339732	Journal of Experimental Psychology: Human Perception and Performance	2008	1055
339732	Journal of Experimental Psychology: Human Perception and Performance	2009	611
339732	Journal of Experimental Psychology: Human Perception and Performance	2010	1219
339732	Journal of Experimental Psychology: Human Perception and Performance	2011	2882
339732	Journal of Experimental Psychology: Human Perception and Performance	2012	2741
339732	Journal of Experimental Psychology: Human Perception and Performance	2013	1779
339732	Journal of Experimental Psychology: Human Perception and Performance	2014	2489
339732	Journal of Experimental Psychology: Human Perception and Performance	2015	3698
339732	Journal of Experimental Psychology: Human Perception and Performance	2016	2143
339732	Journal of Experimental Psychology: Human Perception and Performance	2017	2595
339732	Journal of Experimental Psychology: Human Perception and Performance	2018	1525
339733	Studies in Higher Education	2002	2364
339733	Studies in Higher Education	2003	201
339733	Studies in Higher Education	2004	470
339733	Studies in Higher Education	2005	1068
339733	Studies in Higher Education	2006	187
339733	Studies in Higher Education	2007	88
339733	Studies in Higher Education	2008	51
339733	Studies in Higher Education	2009	77
339733	Studies in Higher Education	2010	81
339733	Studies in Higher Education	2011	199
339733	Studies in Higher Education	2012	75
339733	Studies in Higher Education	2013	126
339733	Studies in Higher Education	2014	190
339733	Studies in Higher Education	2015	155
339733	Studies in Higher Education	2016	160
339733	Studies in Higher Education	2017	145
339733	Studies in Higher Education	2018	146
339753	Anthropologica	2017	82
339753	Anthropologica	2018	60
339774	Journal of Youth Studies	2002	1999
339774	Journal of Youth Studies	2003	308
339774	Journal of Youth Studies	2004	378
339774	Journal of Youth Studies	2005	254
339774	Journal of Youth Studies	2006	107
339774	Journal of Youth Studies	2007	66
339774	Journal of Youth Studies	2008	43
339774	Journal of Youth Studies	2009	45
339774	Journal of Youth Studies	2010	72
339774	Journal of Youth Studies	2011	51
339774	Journal of Youth Studies	2012	157
339774	Journal of Youth Studies	2013	71
339774	Journal of Youth Studies	2014	80
339774	Journal of Youth Studies	2015	96
339774	Journal of Youth Studies	2016	88
339774	Journal of Youth Studies	2017	88
339774	Journal of Youth Studies	2018	91
339775	Psychological Science	2002	49
339775	Psychological Science	2003	534
339775	Psychological Science	2004	172
339775	Psychological Science	2005	68
339775	Psychological Science	2006	863
339775	Psychological Science	2007	199
339775	Psychological Science	2008	228
339775	Psychological Science	2009	252
339775	Psychological Science	2010	325
339775	Psychological Science	2011	230
339775	Psychological Science	2012	230
339775	Psychological Science	2013	383
339775	Psychological Science	2014	235
339775	Psychological Science	2015	234
339775	Psychological Science	2016	158
339775	Psychological Science	2017	204
339775	Psychological Science	2018	189
339791	Journal of Experimental Education	2007	186
339791	Journal of Experimental Education	2008	40
339791	Journal of Experimental Education	2009	154
339791	Journal of Experimental Education	2010	154
339791	Journal of Experimental Education	2011	24
339791	Journal of Experimental Education	2012	23
339791	Journal of Experimental Education	2013	49
339791	Journal of Experimental Education	2014	354
339791	Journal of Experimental Education	2015	2051
339791	Journal of Experimental Education	2016	45
339791	Journal of Experimental Education	2017	54
339791	Journal of Experimental Education	2018	34
339792	Zeitschrift für Romanische Philologie	2007	248
339792	Zeitschrift für Romanische Philologie	2008	218
339792	Zeitschrift für Romanische Philologie	2009	3868
339792	Zeitschrift für Romanische Philologie	2010	105
339792	Zeitschrift für Romanische Philologie	2011	118
339792	Zeitschrift für Romanische Philologie	2013	33
339792	Zeitschrift für Romanische Philologie	2014	550
339792	Zeitschrift für Romanische Philologie	2015	169
339792	Zeitschrift für Romanische Philologie	2016	208
339792	Zeitschrift für Romanische Philologie	2017	226
339792	Zeitschrift für Romanische Philologie	2018	174
339799	European Accounting Review	2002	5708
339799	European Accounting Review	2003	63
339799	European Accounting Review	2004	537
339799	European Accounting Review	2005	60
339799	European Accounting Review	2006	29
339799	European Accounting Review	2007	421
339799	European Accounting Review	2008	48
339799	European Accounting Review	2009	59
339799	European Accounting Review	2010	57
339799	European Accounting Review	2011	53
339799	European Accounting Review	2012	39
339799	European Accounting Review	2013	28
339799	European Accounting Review	2014	52
339799	European Accounting Review	2015	35
339799	European Accounting Review	2016	49
339799	European Accounting Review	2017	26
339799	European Accounting Review	2018	37
339805	Journal of Peace Research	2003	1108
339805	Journal of Peace Research	2004	538
339805	Journal of Peace Research	2005	100
339805	Journal of Peace Research	2006	108
339805	Journal of Peace Research	2007	2237
339805	Journal of Peace Research	2008	137
339805	Journal of Peace Research	2009	91
339805	Journal of Peace Research	2010	93
339805	Journal of Peace Research	2011	71
339805	Journal of Peace Research	2012	72
339805	Journal of Peace Research	2013	75
339805	Journal of Peace Research	2014	57
339805	Journal of Peace Research	2015	63
339805	Journal of Peace Research	2016	54
339805	Journal of Peace Research	2017	73
339805	Journal of Peace Research	2018	66
339814	Norsk Filosofisk tidsskrift	2016	21
339814	Norsk Filosofisk tidsskrift	2017	25
339814	Norsk Filosofisk tidsskrift	2018	23
339856	Modern Asian Studies	2002	1237
339856	Modern Asian Studies	2003	98
339856	Modern Asian Studies	2004	33
339856	Modern Asian Studies	2005	35
339856	Modern Asian Studies	2006	42
339856	Modern Asian Studies	2007	74
339856	Modern Asian Studies	2008	1679
339856	Modern Asian Studies	2009	54
339856	Modern Asian Studies	2010	50
339856	Modern Asian Studies	2011	71
339856	Modern Asian Studies	2012	76
339856	Modern Asian Studies	2013	73
339856	Modern Asian Studies	2014	71
339856	Modern Asian Studies	2015	69
339856	Modern Asian Studies	2016	53
339856	Modern Asian Studies	2017	61
339856	Modern Asian Studies	2018	105
339874	African Archaeological Review	2005	158
339874	African Archaeological Review	2006	10
339874	African Archaeological Review	2007	8
339874	African Archaeological Review	2008	27
339874	African Archaeological Review	2009	17
339874	African Archaeological Review	2010	23
339874	African Archaeological Review	2011	20
339874	African Archaeological Review	2012	22
339874	African Archaeological Review	2013	21
339874	African Archaeological Review	2014	29
339874	African Archaeological Review	2015	33
339874	African Archaeological Review	2016	28
339874	African Archaeological Review	2017	37
339874	African Archaeological Review	2018	40
339888	Bulletin of the School of Oriental and African Studies	2002	1305
339888	Bulletin of the School of Oriental and African Studies	2003	258
339888	Bulletin of the School of Oriental and African Studies	2004	140
339888	Bulletin of the School of Oriental and African Studies	2005	92
339888	Bulletin of the School of Oriental and African Studies	2006	114
339888	Bulletin of the School of Oriental and African Studies	2007	97
339888	Bulletin of the School of Oriental and African Studies	2008	287
339888	Bulletin of the School of Oriental and African Studies	2009	109
339888	Bulletin of the School of Oriental and African Studies	2010	14993
339888	Bulletin of the School of Oriental and African Studies	2011	105
339888	Bulletin of the School of Oriental and African Studies	2012	146
339888	Bulletin of the School of Oriental and African Studies	2013	139
339888	Bulletin of the School of Oriental and African Studies	2014	148
339888	Bulletin of the School of Oriental and African Studies	2015	137
339888	Bulletin of the School of Oriental and African Studies	2016	107
339888	Bulletin of the School of Oriental and African Studies	2017	183
339888	Bulletin of the School of Oriental and African Studies	2018	128
339890	Sociological Methods & Research	2003	303
339890	Sociological Methods & Research	2004	264
339890	Sociological Methods & Research	2005	28
339890	Sociological Methods & Research	2006	21
339890	Sociological Methods & Research	2007	652
339890	Sociological Methods & Research	2008	67
339890	Sociological Methods & Research	2009	29
339890	Sociological Methods & Research	2010	31
339890	Sociological Methods & Research	2011	34
339890	Sociological Methods & Research	2012	32
339890	Sociological Methods & Research	2013	36
339890	Sociological Methods & Research	2014	50
339890	Sociological Methods & Research	2015	49
339890	Sociological Methods & Research	2016	33
339890	Sociological Methods & Research	2017	59
339890	Sociological Methods & Research	2018	64
339906	Radiocarbon: An International Journal of Cosmogenic Isotope Research	2012	19
339906	Radiocarbon: An International Journal of Cosmogenic Isotope Research	2013	31
339906	Radiocarbon: An International Journal of Cosmogenic Isotope Research	2014	110
339906	Radiocarbon: An International Journal of Cosmogenic Isotope Research	2015	84
339906	Radiocarbon: An International Journal of Cosmogenic Isotope Research	2016	3630
339906	Radiocarbon: An International Journal of Cosmogenic Isotope Research	2017	365
339906	Radiocarbon: An International Journal of Cosmogenic Isotope Research	2018	137
339924	European Addiction Research	2003	1160
339924	European Addiction Research	2004	129
339924	European Addiction Research	2005	67
339924	European Addiction Research	2006	72
339924	European Addiction Research	2007	88
339924	European Addiction Research	2008	94
339924	European Addiction Research	2009	725
339924	European Addiction Research	2010	72
339924	European Addiction Research	2011	70
339924	European Addiction Research	2012	150
339924	European Addiction Research	2013	81
339924	European Addiction Research	2014	87
339924	European Addiction Research	2015	51
339924	European Addiction Research	2016	27
339924	European Addiction Research	2017	35
339924	European Addiction Research	2018	42
339925	Journal of Early Adolescence	2003	315
339925	Journal of Early Adolescence	2004	264
339925	Journal of Early Adolescence	2005	23
339925	Journal of Early Adolescence	2006	25
339925	Journal of Early Adolescence	2007	720
339925	Journal of Early Adolescence	2008	51
339925	Journal of Early Adolescence	2009	47
339925	Journal of Early Adolescence	2010	55
339925	Journal of Early Adolescence	2011	31
339925	Journal of Early Adolescence	2012	49
339925	Journal of Early Adolescence	2013	59
339925	Journal of Early Adolescence	2014	71
339925	Journal of Early Adolescence	2015	73
339925	Journal of Early Adolescence	2016	64
339925	Journal of Early Adolescence	2017	50
339925	Journal of Early Adolescence	2018	47
339933	Journal of Community and Applied Social Psychology	2002	884
339933	Journal of Community and Applied Social Psychology	2003	41
339933	Journal of Community and Applied Social Psychology	2004	56
