doi	level
10.1007/bf00054018	1
10.1007/bf00054020	1
10.1007/bf00054021	1
10.1007/bf00054024	1
10.1007/bf00054025	1
10.1007/bf00054027	1
10.1007/bf00054270	1
10.1007/bf00054271	1
10.1007/bf00054272	1
10.1007/bf00054273	1
10.1007/bf00054274	1
10.1007/bf00054285	1
10.1007/bf00054286	1
10.1007/bf00054287	1
10.1007/bf00054288	1
10.1007/bf00054290	1
10.1007/bf00054295	1
10.1007/bf00055107	1
10.1007/bf00055108	1
10.1007/bf00055109	1
10.1007/bf00055401	1
10.1007/bf00055402	1
10.1007/bf00055405	1
10.1007/bf00055409	1
10.1007/bf00056142	1
10.1007/bf00056143	1
10.1007/bf00056144	1
10.1007/bf00056145	1
10.1007/bf00056146	1
10.1007/bf00056147	1
10.1007/bf00056345	1
10.1007/bf00056346	1
10.1007/bf00056347	1
10.1007/bf00056348	1
10.1007/bf00056349	1
10.1007/bf00056351	1
10.1007/bf00057648	1
10.1007/bf00057649	1
10.1007/bf00057650	1
10.1007/bf00057651	1
10.1007/bf00057652	1
10.1007/bf00057936	1
10.1007/bf00057937	1
10.1007/bf00057938	1
10.1007/bf00057939	1
10.1007/bf00057940	1
10.1007/bf00057941	1
10.1007/bf00058616	1
10.1007/bf00058617	1
10.1007/bf00058618	1
10.1007/bf00058765	1
10.1007/bf00058766	1
10.1007/bf00058767	1
10.1007/bf00058768	1
10.1007/bf00058769	1
10.1007/bf00058770	1
10.1007/bf00114883	1
10.1007/bf00114884	1
10.1007/bf00114885	1
10.1007/bf00114886	1
10.1007/bf00114887	1
10.1007/bf00115023	1
10.1007/bf00115024	1
10.1007/bf00115025	1
10.1007/bf00115026	1
10.1007/bf00115027	1
10.1007/bf00115028	1
10.1007/bf00115029	1
10.1007/bf00115030	1
10.1007/bf00116075	1
10.1007/bf00116076	1
10.1007/bf00116077	1
10.1007/bf00116078	1
10.1007/bf00116346	1
10.1007/bf00116347	1
10.1007/bf00116352	1
10.1007/bf00117340	1
10.1007/bf00117341	1
10.1007/bf00117342	1
10.1007/bf00117343	1
10.1007/bf00118600	1
