id	level	doi	outgoing	incoming
10.1007/bf00054017	1	10.1007/bf00054017	0	0
10.1007/bf00054018	1	10.1007/bf00054018	35	0
10.1007/bf00054019	1	10.1007/bf00054019	0	1
10.1007/bf00054020	1	10.1007/bf00054020	1	1
10.1007/bf00054021	1	10.1007/bf00054021	8	4
10.1007/bf00054022	1	10.1007/bf00054022	0	0
10.1007/bf00054023	1	10.1007/bf00054023	0	0
10.1007/bf00054024	1	10.1007/bf00054024	11	79
10.1007/bf00054025	1	10.1007/bf00054025	10	1
10.1007/bf00054026	1	10.1007/bf00054026	0	0
10.1007/bf00054027	1	10.1007/bf00054027	3	0
10.1007/bf00054028	1	10.1007/bf00054028	0	0
10.1007/bf00054029	1	10.1007/bf00054029	0	0
10.1007/bf00054030	1	10.1007/bf00054030	0	0
10.1007/bf00054031	1	10.1007/bf00054031	0	0
10.1007/bf00054269	1	10.1007/bf00054269	0	0
10.1007/bf00054270	1	10.1007/bf00054270	8	2
10.1007/bf00054271	1	10.1007/bf00054271	0	2
10.1007/bf00054272	1	10.1007/bf00054272	0	2
10.1007/bf00054273	1	10.1007/bf00054273	12	2
10.1007/bf00054274	1	10.1007/bf00054274	3	2
10.1007/bf00054275	1	10.1007/bf00054275	0	0
10.1007/bf00054276	1	10.1007/bf00054276	0	0
10.1007/bf00054277	1	10.1007/bf00054277	0	0
10.1007/bf00054278	1	10.1007/bf00054278	0	0
10.1007/bf00054279	1	10.1007/bf00054279	0	0
10.1007/bf00054280	1	10.1007/bf00054280	0	0
10.1007/bf00054281	1	10.1007/bf00054281	0	0
10.1007/bf00054282	1	10.1007/bf00054282	0	0
10.1007/bf00054283	1	10.1007/bf00054283	0	0
10.1007/bf00054284	1	10.1007/bf00054284	0	0
10.1007/bf00054285	1	10.1007/bf00054285	12	5
10.1007/bf00054286	1	10.1007/bf00054286	5	0
10.1007/bf00054287	1	10.1007/bf00054287	2	8
10.1007/bf00054288	1	10.1007/bf00054288	0	2
10.1007/bf00054289	1	10.1007/bf00054289	0	0
10.1007/bf00054290	1	10.1007/bf00054290	0	1
10.1007/bf00054291	1	10.1007/bf00054291	0	0
10.1007/bf00054292	1	10.1007/bf00054292	0	0
10.1007/bf00054293	1	10.1007/bf00054293	0	0
10.1007/bf00054294	1	10.1007/bf00054294	0	0
10.1007/bf00054295	1	10.1007/bf00054295	5	0
10.1007/bf00055106	1	10.1007/bf00055106	0	0
10.1007/bf00055107	1	10.1007/bf00055107	9	51
10.1007/bf00055108	1	10.1007/bf00055108	0	38
10.1007/bf00055109	1	10.1007/bf00055109	11	23
10.1007/bf00055110	1	10.1007/bf00055110	3	2
10.1007/bf00055401	1	10.1007/bf00055401	1	0
10.1007/bf00055402	1	10.1007/bf00055402	0	2
10.1007/bf00055403	1	10.1007/bf00055403	0	0
10.1007/bf00055404	1	10.1007/bf00055404	0	3
10.1007/bf00055405	1	10.1007/bf00055405	0	1
10.1007/bf00055406	1	10.1007/bf00055406	0	0
10.1007/bf00055407	1	10.1007/bf00055407	0	0
10.1007/bf00055408	1	10.1007/bf00055408	0	0
10.1007/bf00055409	1	10.1007/bf00055409	0	1
10.1007/bf00056142	1	10.1007/bf00056142	10	26
10.1007/bf00056143	1	10.1007/bf00056143	11	6
10.1007/bf00056144	1	10.1007/bf00056144	11	1
10.1007/bf00056145	1	10.1007/bf00056145	4	3
10.1007/bf00056146	1	10.1007/bf00056146	14	3
10.1007/bf00056147	1	10.1007/bf00056147	0	3
10.1007/bf00056148	1	10.1007/bf00056148	0	0
10.1007/bf00056149	1	10.1007/bf00056149	0	0
10.1007/bf00056150	1	10.1007/bf00056150	0	0
10.1007/bf00056151	1	10.1007/bf00056151	0	0
10.1007/bf00056152	1	10.1007/bf00056152	0	0
10.1007/bf00056343	1	10.1007/bf00056343	0	0
10.1007/bf00056344	1	10.1007/bf00056344	0	0
10.1007/bf00056345	1	10.1007/bf00056345	0	1
10.1007/bf00056346	1	10.1007/bf00056346	1	3
10.1007/bf00056347	1	10.1007/bf00056347	6	1
10.1007/bf00056348	1	10.1007/bf00056348	6	10
10.1007/bf00056349	1	10.1007/bf00056349	7	0
10.1007/bf00056350	1	10.1007/bf00056350	0	0
10.1007/bf00056351	1	10.1007/bf00056351	0	2
10.1007/bf00057648	1	10.1007/bf00057648	1	4
10.1007/bf00057649	1	10.1007/bf00057649	4	3
10.1007/bf00057650	1	10.1007/bf00057650	0	4
10.1007/bf00057651	1	10.1007/bf00057651	37	9
10.1007/bf00057652	1	10.1007/bf00057652	3	1
10.1007/bf00057653	1	10.1007/bf00057653	0	0
10.1007/bf00057654	1	10.1007/bf00057654	0	0
10.1007/bf00057655	1	10.1007/bf00057655	0	0
10.1007/bf00057936	1	10.1007/bf00057936	5	2
10.1007/bf00057937	1	10.1007/bf00057937	3	0
10.1007/bf00057938	1	10.1007/bf00057938	7	16
10.1007/bf00057939	1	10.1007/bf00057939	25	6
10.1007/bf00057940	1	10.1007/bf00057940	2	0
10.1007/bf00057941	1	10.1007/bf00057941	15	4
10.1007/bf00057942	1	10.1007/bf00057942	0	0
10.1007/bf00058614	1	10.1007/bf00058614	0	0
10.1007/bf00058615	1	10.1007/bf00058615	0	0
10.1007/bf00058616	1	10.1007/bf00058616	14	9
10.1007/bf00058617	1	10.1007/bf00058617	0	3
10.1007/bf00058618	1	10.1007/bf00058618	23	6
10.1007/bf00058619	1	10.1007/bf00058619	0	0
10.1007/bf00058620	1	10.1007/bf00058620	0	0
10.1007/bf00058763	1	10.1007/bf00058763	0	0
10.1007/bf00058764	1	10.1007/bf00058764	0	0
10.1007/bf00058765	1	10.1007/bf00058765	0	6
10.1007/bf00058766	1	10.1007/bf00058766	0	2
10.1007/bf00058767	1	10.1007/bf00058767	0	2
10.1007/bf00058768	1	10.1007/bf00058768	0	1
10.1007/bf00058769	1	10.1007/bf00058769	0	4
10.1007/bf00058770	1	10.1007/bf00058770	0	9
10.1007/bf00058771	1	10.1007/bf00058771	0	2
10.1007/bf00058772	1	10.1007/bf00058772	0	0
10.1007/bf00058773	1	10.1007/bf00058773	0	0
10.1007/bf00114883	1	10.1007/bf00114883	0	3
10.1007/bf00114884	1	10.1007/bf00114884	0	3
10.1007/bf00114885	1	10.1007/bf00114885	5	0
10.1007/bf00114886	1	10.1007/bf00114886	1	1
10.1007/bf00114887	1	10.1007/bf00114887	11	4
10.1007/bf00114888	1	10.1007/bf00114888	0	0
10.1007/bf00114889	1	10.1007/bf00114889	0	0
10.1007/bf00115023	1	10.1007/bf00115023	0	1
10.1007/bf00115024	1	10.1007/bf00115024	0	1
10.1007/bf00115025	1	10.1007/bf00115025	3	1
10.1007/bf00115026	1	10.1007/bf00115026	1	3
10.1007/bf00115027	1	10.1007/bf00115027	0	2
10.1007/bf00115028	1	10.1007/bf00115028	7	55
10.1007/bf00115029	1	10.1007/bf00115029	3	4
10.1007/bf00115030	1	10.1007/bf00115030	3	5
10.1007/bf00115031	1	10.1007/bf00115031	0	0
10.1007/bf00115032	1	10.1007/bf00115032	0	0
10.1007/bf00115033	1	10.1007/bf00115033	0	0
10.1007/bf00115034	1	10.1007/bf00115034	0	0
10.1007/bf00115035	1	10.1007/bf00115035	0	0
10.1007/bf00115036	1	10.1007/bf00115036	0	0
10.1007/bf00115037	1	10.1007/bf00115037	0	0
10.1007/bf00116075	1	10.1007/bf00116075	11	24
10.1007/bf00116076	1	10.1007/bf00116076	0	6
10.1007/bf00116077	1	10.1007/bf00116077	8	7
10.1007/bf00116078	1	10.1007/bf00116078	3	5
10.1007/bf00116079	1	10.1007/bf00116079	0	0
10.1007/bf00116080	1	10.1007/bf00116080	0	0
10.1007/bf00116081	1	10.1007/bf00116081	0	0
10.1007/bf00116346	1	10.1007/bf00116346	10	7
10.1007/bf00116347	1	10.1007/bf00116347	7	18
