discipline	perc	type
Digital Humanities	31.0742609949525	dh
Linguistics	27.4230381890794	ah
Psychology	10.7441271644586	ss
Pedagogical & Educational Research	6.72412663039902	ss
Library and Information Science	5.40810827400578	ah
Philosophy	2.01788718371266	ah
Literature	1.77942001121521	ah
Archaeology	1.61722106567093	ah
Interdisciplinary research in the Social Sciences	1.34151363603416	ss
Anthropology	1.25873352261237	ss
Business and Management	1.2470778440497	ss
Musicology	1.12667513532688	ah
Art and Art History	1.02357387865677	ah
Media Studies and Communication	1.01393479547767	ah
History & Philosophy of Science	0.713904243103938	ah
Human Geography and Urban Studies	0.684409584914255	ss
Sociology	0.684019443932911	ss
Science and Technology Studies	0.541864208050209	ss
Environmental Studies	0.532785193924331	ss
Interdisciplinary research in the Humanities	0.53034984722078	ah
History	0.527317151325792	ah
Demography	0.340341652526215	ss
Political Sciences and International Relations	0.318833613714645	ss
Economics	0.263761312787983	ss
Gender Studies	0.261641546789342	ss
Law	0.235062542200244	ss
Religious Studies and Theology	0.201416783969051	ah
Social Statistics and Informatics	0.158943435799957	ss
Film and Theatre Studies	0.107145718176718	ah
Cultural Studies	0.0693228505052571	ah
Classical Studies	0.0291825454046068	ah
