discipline	perc	type
Other	85.9336287817984	other
Digital Humanities	4.5119866001326	dh
Linguistics	3.9818285900395	ah
Psychology	1.50460356082019	ss
Pedagogical & Educational Research	0.976344031444006	ss
Library and Information Science	0.785258000772534	ah
Philosophy	0.292997472569654	ah
Literature	0.258372009165881	ah
Archaeology	0.185403051195004	ah
Business and Management	0.181075859618624	ss
Musicology	0.163593371186629	ah
Art and Art History	0.148623055766162	ah
Media Studies and Communication	0.146271764550021	ah
Interdisciplinary research in the Social Sciences	0.145370297776342	ss
Anthropology	0.133350614908349	ss
Science and Technology Studies	0.0777270559522714	ss
Interdisciplinary research in the Humanities	0.0770068644409991	ah
History	0.0765665166160681	ah
History & Philosophy of Science	0.0551930302078607	ah
Human Geography and Urban Studies	0.0499587070058508	ss
Sociology	0.0499020584863485	ss
Political Sciences and International Relations	0.0462946807644438	ss
Gender Studies	0.0379903854622073	ss
Economics	0.0373464806238648	ss
Law	0.0341311106569158	ss
Religious Studies and Theology	0.0292457423350399	ah
Environmental Studies	0.0279428263864876	ss
Social Statistics and Informatics	0.0221269117175876	ss
Film and Theatre Studies	0.0155575717393074	ah
Cultural Studies	0.0100656866019605	ah
Classical Studies	0.00423730925876998	ah
