discipline	perc	type
Digital Humanities	23.2549170844579	dh
Psychology	19.4309771729747	ss
Linguistics	15.7136659137236	ah
Pedagogical & Educational Research	7.93347014856842	ss
Philosophy	4.59249260830437	ah
Library and Information Science	4.08230492351198	ah
Anthropology	3.20935652597818	ss
Business and Management	2.46577323563438	ss
Archaeology	2.45985695754302	ah
Media Studies and Communication	2.02383873999761	ah
Musicology	1.86077902043963	ah
Interdisciplinary research in the Social Sciences	1.8296116083428	ss
History & Philosophy of Science	1.43013240776448	ah
Art and Art History	1.28849650157015	ah
Economics	1.15965311202487	ss
Literature	1.09406276972801	ah
Sociology	1.06356106934587	ss
Science and Technology Studies	0.699875872937957	ss
Political Sciences and International Relations	0.662130644776223	ss
History	0.634813508897576	ah
Human Geography and Urban Studies	0.583330411714517	ss
Gender Studies	0.52200980662222	ss
Environmental Studies	0.517126529467442	ss
Law	0.439002442473322	ss
Demography	0.398216643878036	ss
Social Statistics and Informatics	0.210095695537267	ss
Religious Studies and Theology	0.183185499421518	ah
Interdisciplinary research in the Humanities	0.126278625603731	ah
Film and Theatre Studies	0.0527978256478059	ah
Classical Studies	0.0401722586450697	ah
Cultural Studies	0.0380144344664202	ah
