discipline	perc	type
Other	84.9428112011165	other
Digital Humanities	3.65886957313188	dh
Psychology	2.80945301879133	ss
Linguistics	2.47234827306731	ah
Pedagogical & Educational Research	1.24823203757399	ss
Philosophy	0.72257111940374	ah
Library and Information Science	0.642299485250245	ah
Anthropology	0.457972697892603	ss
Business and Management	0.387958496404842	ss
Archaeology	0.340048339957323	ah
Media Studies and Communication	0.300773930518174	ah
Musicology	0.292770243621249	ah
Interdisciplinary research in the Social Sciences	0.240887137901792	ss
Art and Art History	0.20272876603085	ah
History & Philosophy of Science	0.195685810503322	ah
Literature	0.17213705663692	ah
Economics	0.16480515934416	ss
Sociology	0.120358692307359	ss
Political Sciences and International Relations	0.104177953454371	ss
History	0.0998799446965462	ah
Science and Technology Studies	0.0924649766462818	ss
Gender Studies	0.0821316967671751	ss
Law	0.069071528978692	ss
Human Geography and Urban Studies	0.0448004206992102	ss
Environmental Studies	0.0343840700625992	ss
Religious Studies and Theology	0.0288219410818847	ah
Interdisciplinary research in the Humanities	0.0198683581317603	ah
Demography	0.015675090763832	ss
Social Statistics and Informatics	0.0154042078589271	ss
Film and Theatre Studies	0.00830707575041788	ah
Classical Studies	0.00632060111444839	ah
Cultural Studies	0.00598109454030087	ah
