discipline	perc	type
Other	78.6015958938453	other
Digital Humanities	6.15413377295481	dh
Linguistics	5.59232960925732	ah
Psychology	2.6252937133993	ss
Pedagogical & Educational Research	1.75054758628865	ss
Library and Information Science	1.06082669168489	ah
Philosophy	0.464704232772761	ah
Literature	0.434467106692777	ah
History	0.378664641753437	ah
Musicology	0.309321277734818	ah
Archaeology	0.305539740136137	ah
Interdisciplinary research in the Social Sciences	0.274850591649967	ss
Business and Management	0.260306138451401	ss
Art and Art History	0.243028214254538	ah
Media Studies and Communication	0.236903701514459	ah
Anthropology	0.236027431018807	ss
Science and Technology Studies	0.142720349748912	ss
Interdisciplinary research in the Humanities	0.135291639706267	ah
History & Philosophy of Science	0.104905801473525	ah
Sociology	0.103740567722485	ss
Political Sciences and International Relations	0.084393640866019	ss
Economics	0.079646991745363	ss
Human Geography and Urban Studies	0.0739595106378763	ss
Religious Studies and Theology	0.0654758363996365	ah
Gender Studies	0.057581952535937	ss
Environmental Studies	0.0542831546341155	ss
Law	0.0533522551843891	ss
Social Statistics and Informatics	0.0296748341183534	ss
Cultural Studies	0.026394889643443	ah
Film and Theatre Studies	0.0208348760954624	ah
Demography	0.0206780707643239	ss
Classical Studies	0.0185252853148874	ah
