discipline	perc	type
Other	68.6797803687772	other
Psychology	6.91433337448766	ss
Linguistics	5.83590999894113	ah
Digital Humanities	5.47111518218934	dh
Pedagogical & Educational Research	2.14977575801037	ss
Philosophy	1.50425091110688	ah
Library and Information Science	1.13223783870101	ah
Literature	0.966912937927199	ah
Anthropology	0.900601617637523	ss
History	0.754167062173454	ah
Musicology	0.713972557291241	ah
Business and Management	0.686977207136803	ss
Archaeology	0.562297970892773	ah
Media Studies and Communication	0.498951280650056	ah
History & Philosophy of Science	0.436459265929386	ah
Art and Art History	0.412679497075017	ah
Int. research in S.S.	0.402545113929813	ss
Economics	0.355332188404177	ss
Political Sciences	0.296247338212218	ss
Sociology	0.244939512533555	ss
Int. research in H.	0.171943726072678	ah
Science and Technology Studies	0.170526921237203	ss
Gender Studies	0.168327727983686	ss
Religious Studies and Theology	0.112402152814504	ah
Human Geography and Urban Studies	0.0990169035999711	ss
Law	0.0831071691638981	ss
Classical Studies	0.0825465333856753	ah
Environmental Studies	0.0645852416512703	ss
Cultural Studies	0.0379677932425132	ah
Social Statistics and Informatics	0.0360778364535485	ss
Demography	0.028704551845009	ss
Film and Theatre Studies	0.0253064605426778	ah
