id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<Perc AH pubs>	score<Perc DH pubs>	score<Perc DH pubs level 1>	score<Perc DH pubs level 2>	score<Perc DH pubs level 3>	description
4497044	0	1.4004	0.0275	4	1042	9.1039	39661	0.0001512821	0	0	0	0	<td>Monthly Notices of the Royal Astronomical Society;The Astrophysical Journal;Astronomy and Astrophysics;The Astronomical Journal;Proceedings of the International Astronomical Union</td>
1783273	1	-0.6718	-0.287	1	3217	11.8488	36545	0.0001368176	0	0	0	0	<td>PLoS ONE;Oncotarget;Scientific Reports;Tumor Biology;Molecular Medicine Reports</td>
4083679	2	-0.1225	-0.1025	5	3085	29.174	36425	0.001949211	0	0	0	0	<td>Molecular Phylogenetics and Evolution;PLoS ONE;Mitochondrial DNA Part A;Molecular Biology and Evolution;Molecular Ecology</td>
2139728	3	1.0214	-0.3656	2	2236	10.7873	35109	2.848273E-05	0	0	0	0	<td>Physical Review B;Applied Physics Letters;Nano Letters;ACS Nano;Physical Review Letters</td>
795089	4	0.7431	-0.4419	2	2396	8.6011	32688	0.0001529613	0	0	0	0	<td>Applied Catalysis B Environmental;Applied Surface Science;The Journal of Physical Chemistry C;Journal of Photochemistry and Photobiology A Chemistry;Chemical Engineering Journal</td>
5939462	5	0.8842	-0.4495	2	1866	6.918	31971	0	0	0	0	0	<td>Journal of Power Sources;Electrochimica Acta;ACS Applied Materials & Interfaces;Journal of Alloys and Compounds;Chemistry of Materials</td>
631617	6	0.3982	-0.3825	2	2561	8.6387	31163	3.208934E-05	0	0	0	0	<td>Journal of Hazardous Materials;Chemical Engineering Journal;Desalination and Water Treatment;Journal of Colloid and Interface Science;Bioresource Technology</td>
4642927	7	1.241	0.0864	4	1407	10.8998	30981	0.001775282	0	0	0	0	<td>Physical Review A;Physical Review Letters;International Journal of Theoretical Physics;Journal of Physics A: Mathematical and Theoretical;Quantum Information Processing</td>
2272764	8	0.6965	-0.4889	2	2181	8.3784	30711	0	0	0	0	0	<td>Applied Physics Letters;Organic Electronics;Advanced Materials;The Journal of Physical Chemistry C;Solar Energy Materials and Solar Cells</td>
3124205	9	-0.4776	-0.1163	5	3247	5.9304	30168	0.0009281358	0	0	0	0	<td>Vaccine;PLoS ONE;Journal of Virology;Avian Diseases;Emerging Infectious Diseases</td>
3491317	10	-0.5963	-0.2305	1	3107	8.6983	29780	0.0005708529	0	0	0	0	<td>PLoS ONE;The International Journal of Tuberculosis and Lung Disease;Journal of Clinical Microbiology;Tuberculosis;Antimicrobial Agents and Chemotherapy</td>
7526995	11	0.9876	-0.4147	2	1943	7.8161	28043	0	0	0	0	0	<td>Applied Physics Letters;Applied Surface Science;Thin Solid Films;Journal of Applied Physics;Materials Letters</td>
7392235	12	1.0992	-0.3009	2	1350	6.6413	27559	0	0	0	0	0	<td>Applied Physics Letters;Journal of Crystal Growth;Journal of Applied Physics;physica status solidi (a);Japanese Journal of Applied Physics</td>
3364858	13	0.7492	-0.1574	2	1922	5.6291	27098	0.0005166433	0	0	0	0	<td>Construction and Building Materials;Cement and Concrete Research;Cement and Concrete Composites;Materials and Structures;Journal of Materials in Civil Engineering</td>
13847588	14	0.7485	-0.1535	5	1231	9.7192	26045	0.0001919754	0	0	0	0	<td>Lithos;Precambrian Research;Gondwana Research;Journal of Asian Earth Sciences;Ore Geology Reviews</td>
6386731	15	0.5095	-0.3641	2	2351	6.576	25817	0.0001162025	0	0	0	0	<td>Fuel;Energy & Fuels;Bioresource Technology;Fuel Processing Technology;Journal of Analytical and Applied Pyrolysis</td>
7527269	16	-0.3638	-0.2822	6	3157	6.2729	25665	0.0001948178	0	0	0	0	<td>Malaria Journal;PLoS ONE;Antimicrobial Agents and Chemotherapy;The Journal of Infectious Diseases;Molecular and Biochemical Parasitology</td>
3248356	17	-0.2358	-0.393	6	3241	10.482	25188	3.970144E-05	0	0	0	0	<td>Journal of Controlled Release;Biomaterials;International Journal of Pharmaceutics;Molecular Pharmaceutics;Bioconjugate Chemistry</td>
5917665	18	-0.6432	-0.2041	1	2744	5.4262	25083	7.973528E-05	0	0	0	0	<td>Hepatology;Journal of Viral Hepatitis;Journal of Hepatology;Journal of Virology;PLoS ONE</td>
3252277	19	0.424	-0.6087	6	2144	8.8901	24687	0	0	0	0	0	<td>Inorganic Chemistry Communications;Acta Crystallographica Section E: Crystallographic Communications;Crystal Growth & Design;Inorganica Chimica Acta;Inorganic Chemistry</td>
4342105	20	-0.7667	-0.3264	1	2372	8.0399	24051	0	0	0	0	0	<td>Cancer Immunology, Immunotherapy;OncoImmunology;Clinical Cancer Research;The Journal of Immunology;Reactions Weekly</td>
5910311	21	0.4047	0.2534	2	2479	5.3392	23865	0.01311544	4.190237E-05	0	4.190237E-05	0	<td>Energy and Buildings;Building and Environment;Energy Procedia;Applied Energy;Energy Policy</td>
5081082	22	1.2081	-0.1437	4	964	5.3484	23734	8.42673E-05	0	0	0	0	<td>The Astrophysical Journal;Astronomy and Astrophysics;Monthly Notices of the Royal Astronomical Society;Proceedings of the International Astronomical Union;The Astronomical Journal</td>
2766583	23	-0.4599	-0.3163	1	3217	9.7456	23619	4.233879E-05	0	0	0	0	<td>Journal of Biological Chemistry;Journal of Alzheimer s Disease;PLoS ONE;Journal of Neuroscience;Journal of Neurochemistry</td>
7396219	24	0.9986	0.3782	4	1022	8.1922	23457	0.001534723	0	0	0	0	<td>IEEE Transactions on Wireless Communications;IEEE Transactions on Vehicular Technology;IEEE Communications Letters;IEEE Transactions on Communications;IEEE Transactions on Information Theory</td>
7320236	25	1.1486	-0.1559	2	1154	4.1445	23403	4.272956E-05	0	0	0	0	<td>Physics of Plasmas;Nuclear Fusion;Plasma Physics and Controlled Fusion;Fusion Engineering and Design;Review of Scientific Instruments</td>
10440762	26	-0.1058	-0.0678	5	2368	10.7932	23363	0.0003852245	0	0	0	0	<td>Molecular Ecology;Molecular Ecology Resources;Conservation Genetics;Conservation Genetics Resources;PLoS ONE</td>
5897148	27	-0.6851	-0.0457	1	2869	6.1221	23027	0.0001302818	0	0	0	0	<td>International Journal of Chronic Obstructive Pulmonary Disease;European Respiratory Journal;CHEST Journal;American Journal of Respiratory and Critical Care Medicine;Respiratory Medicine</td>
6071393	28	0.46	-0.2982	2	2427	4.8999	22935	4.360148E-05	0	0	0	0	<td>Desalination;Journal of Membrane Science;Desalination and Water Treatment;Separation and Purification Technology;Water Research</td>
