id	level	doi
pub.1000037834	1	10.1145/2875428
pub.1000066777	1	10.1080/13569783.2015.1059743
pub.1000068792	2	10.1108/10650750610706998
pub.1000074258	2	10.1007/s00146-007-0162-x
pub.1000078214	2	10.1007/s00146-005-0014-5
pub.1000093683	1	10.1080/13569780701559927
pub.1000097244	2	10.1007/s00146-011-0324-8
pub.1000100253	2	10.1007/s10579-009-9088-x
pub.1000113937	2	10.1080/09296174.2013.799910
pub.1000129500	2	10.1007/s00146-009-0257-7
pub.1000136903	1	10.1080/13569780600671179
pub.1000140535	2	10.1007/s10579-013-9249-9
pub.1000155605	2	10.1007/s001460200021
pub.1000161359	2	10.1007/s10579-007-9036-6
pub.1000171070	1	10.1080/13569783.2016.1220243
pub.1000176127	2	10.1007/s00799-014-0117-z
pub.1000176203	2	10.1080/09296174.2015.1037161
pub.1000210821	2	10.1007/s10579-006-9014-4
pub.1000250091	2	10.1162/089120101753342626
pub.1000287581	2	10.1007/s00146-016-0679-y
pub.1000293959	2	10.1007/s00146-015-0626-3
pub.1000319582	2	10.1162/089120101750300544
pub.1000358756	1	10.1145/2812814
pub.1000398742	2	10.1007/s00146-007-0176-4
pub.1000412815	2	10.1007/s10579-007-9024-x
pub.1000426905	2	10.1007/s00146-007-0121-6
pub.1000496178	2	10.1108/10650750710831501
pub.1000500010	2	10.1007/s00146-015-0604-9
pub.1000508899	2	10.1007/s10579-011-9146-z
pub.1000543126	2	10.1007/s00799-007-0010-0
pub.1000579477	1	10.1080/1356978042000255102
pub.1000589045	2	10.1162/coli.2007.33.3.355
pub.1000615156	2	10.1080/09296170701514197
pub.1000626191	2	10.1007/s00799-015-0153-3
pub.1000676884	2	10.1007/s00146-006-0053-6
pub.1000695694	2	10.1007/s00146-011-0332-8
pub.1000804191	2	10.1007/s10579-015-9333-4
pub.1000841262	2	10.1007/s00799-016-0170-x
pub.1000863350	2	10.1007/s10579-014-9292-1
pub.1000893983	1	10.1080/13569780902868952
pub.1000904968	1	10.1145/2532630.2532632
pub.1000926978	1	10.1080/13569783.2015.1059261
pub.1000928282	2	10.1108/10650751311294500
pub.1000981906	2	10.1007/s00146-005-0010-9
pub.1001002619	1	10.1080/13569780903285966
pub.1001023735	2	10.1007/s00799-015-0156-0
pub.1001040901	2	10.1007/s00799-004-0104-x
pub.1001053224	2	10.1007/s00146-004-0310-5
pub.1001085687	2	10.1162/coli_a_00136
pub.1001086117	2	10.1162/coli.2009.35.4.35404
pub.1001111190	2	10.1007/s00146-013-0491-x
pub.1001122171	2	10.1007/s10579-011-9150-3
pub.1001124764	2	10.1007/s10579-011-9171-y
pub.1001125932	2	10.1162/coli_a_00085
pub.1001143644	1	10.1080/1356978022000007992
pub.1001163991	2	10.1108/10650750910961910
pub.1001186004	2	10.1080/09296174.2012.638796
pub.1001194784	2	10.1080/09296174.2015.1106269
pub.1001219110	1	10.1080/13569783.2012.648985
pub.1001222133	2	10.1007/s00146-007-0127-0
pub.1001246657	1	10.1080/13569783.2015.1070663
pub.1001264309	2	10.1007/s00146-004-0312-3
pub.1001288203	2	10.1007/s10579-005-7880-9
pub.1001293645	2	10.1007/s10579-012-9180-5
pub.1001298982	2	10.1108/dlp-02-2016-0006
pub.1001311457	2	10.1162/coli_a_00086
pub.1001321772	2	10.1108/10650750810875449
pub.1001329370	2	10.1080/09296170802326681
pub.1001331209	2	10.1162/coli_a_00113
pub.1001336194	2	10.1007/s00799-003-0065-5
pub.1001355560	1	10.1080/13569783.2013.787262
pub.1001363302	2	10.1007/s10579-007-9028-6
pub.1001372213	1	10.1080/13569783.2012.727625
pub.1001418789	2	10.1162/coli_r_00055
pub.1001423180	2	10.1007/s10579-007-9053-5
pub.1001435064	2	10.1007/s10579-011-9137-0
pub.1001438566	2	10.1023/b:chum.0000031185.88395.b1
pub.1001457402	1	10.1145/2611374
pub.1001472893	2	10.1162/089120104323093285
pub.1001483966	2	10.1162/coli.08-012-r1-06-90
pub.1001491931	2	10.1080/09296174.2014.911505
pub.1001508790	2	10.1007/s00146-012-0413-3
pub.1001513357	2	10.1007/s00146-015-0639-y
pub.1001523509	2	10.1080/09296174.2011.608607
pub.1001537713	1	10.1093/llc/fqt044
pub.1001546405	1	10.1080/13569783.2016.1220244
pub.1001546984	2	10.1007/s10579-008-9069-5
pub.1001557456	2	10.1108/10650750610640793
pub.1001562975	1	10.1080/13569783.2013.872428
pub.1001637156	2	10.1080/09296174.2012.754601
pub.1001643976	2	10.1007/s10579-015-9329-0
pub.1001650962	2	10.1108/10650750710776422
pub.1001658574	2	10.1162/coli_a_00225
pub.1001666203	2	10.1007/s00146-013-0514-7
pub.1001671310	2	10.1162/coli.2006.32.3.379
pub.1001736878	2	10.1007/s00799-003-0053-9
pub.1001739082	2	10.1007/s00146-007-0124-3
pub.1001765363	2	10.1007/s00146-015-0616-5
