id	doi	level	outgoing	incoming
pub.1000066777	10.1080/13569783.2015.1059743	1	14	0
pub.1000093683	10.1080/13569780701559927	1	2	2
pub.1000136903	10.1080/13569780600671179	1	2	1
pub.1000037834	10.1145/2875428	1	14	10
pub.1000171070	10.1080/13569783.2016.1220243	1	12	3
pub.1000261240	10.1353/dph.2015.0009	1	0	0
pub.1000196357	10.1080/13569783.2011.566995	1	0	0
pub.1000358756	10.1145/2812814	1	30	7
pub.1000412600	10.1080/13569780903481078	1	0	0
pub.1000551423	10.1353/dph.2016.0000	1	0	0
pub.1000579477	10.1080/1356978042000255102	1	3	0
pub.1000607771	10.1080/13569783.2011.560483	1	1	0
pub.1000661227	10.1080/13569783.2011.541612	1	0	0
pub.1000794795	10.1080/1356978042000255085	1	4	0
pub.1000506717	10.1080/13569783.2016.1191336	1	2	0
pub.1000857382	10.1080/13569783.2016.1155441	1	0	0
pub.1001026627	10.1080/13569783.2015.1021320	1	0	1
pub.1000893983	10.1080/13569780902868952	1	2	4
pub.1000904968	10.1145/2532630.2532632	1	10	5
pub.1000926978	10.1080/13569783.2015.1059261	1	2	1
pub.1001143644	10.1080/1356978022000007992	1	2	1
pub.1001246657	10.1080/13569783.2015.1070663	1	2	0
pub.1001259972	10.1080/13569780308315	1	0	0
pub.1001002619	10.1080/13569780903285966	1	5	1
pub.1001219110	10.1080/13569783.2012.648985	1	6	1
pub.1001372213	10.1080/13569783.2012.727625	1	15	3
pub.1001415717	10.1353/dph.2012.0022	1	1	0
pub.1001355560	10.1080/13569783.2013.787262	1	7	4
pub.1001457402	10.1145/2611374	1	16	3
pub.1001462391	10.1080/13569783.2015.1073447	1	0	0
pub.1001468886	10.1353/dph.2012.0008	1	0	0
pub.1001495582	10.17928/jjadh.1.1_37	1	2	2
pub.1001537713	10.1093/llc/fqt044	1	22	5
pub.1001546405	10.1080/13569783.2016.1220244	1	4	2
pub.1001609746	10.1353/dph.2013.0001	1	2	1
pub.1001699526	10.1080/13569783.2016.1194193	1	1	0
pub.1001562975	10.1080/13569783.2013.872428	1	6	2
pub.1001605740	10.1145/2160165.2160166	1	1	2
pub.1001869694	10.1080/13569783.2012.648989	1	14	2
pub.1001892588	10.1080/13569780500437754	1	3	2
pub.1001973195	10.1080/713692886	1	0	0
pub.1001976282	10.1080/13569783.2011.590001	1	0	0
pub.1002010034	10.1353/dph.2015.0002	1	0	1
pub.1002056640	10.1353/dph.2012.0009	1	0	0
pub.1002051993	10.1080/13569783.2011.589993	1	4	4
pub.1002097832	10.1145/1434763.1434766	1	2	0
pub.1002223507	10.1080/13569780500275956	1	4	21
pub.1002398660	10.1080/13569780802655731	1	5	1
