discipline	perc	type
Digital Humanities	39.9497487437188	dh
Linguistics	29.3386575735824	ah
Psychology	8.46992901013008	ss
Library and Information Science	3.29983249581242	ah
Pedagogical & Educational Research	2.77129696099547	ss
Philosophy	2.16080402010052	ah
Interdisciplinary research in the Social Sciences	1.4608848716889	ss
Media Studies and Communication	1.32757945572017	ah
History	1.1100143575018	ah
Musicology	1.06783919597991	ah
Archaeology	0.907821937972697	ah
History & Philosophy of Science	0.905918481295371	ah
Anthropology	0.88688391452211	ss
Science and Technology Studies	0.728452870412674	ss
Sociology	0.676606336154079	ss
Environmental Studies	0.635627633115074	ss
Demography	0.602126795594136	ss
Human Geography and Urban Studies	0.572813562763315	ss
Business and Management	0.52345058626466	ss
Art and Art History	0.428332136874853	ah
Social Statistics and Informatics	0.38088168113294	ss
Law	0.376884422110555	ss
Literature	0.329026082794929	ah
Interdisciplinary research in the Humanities	0.300909308446999	ah
Political Sciences and International Relations	0.287150035893756	ss
Economics	0.281575627053016	ss
Gender Studies	0.116654702081838	ss
Cultural Studies	0.0664034458004311	ah
Film and Theatre Studies	0.0358937544867195	ah
