discipline	perc	type
Other	95.5480984340043	other
Digital Humanities	1.77852348993288	dh
Linguistics	1.30612815596037	ah
Psychology	0.377072902240687	ss
Library and Information Science	0.146905294556301	ah
Pedagogical & Educational Research	0.123375412804943	ss
Philosophy	0.0961968680089483	ah
Interdisciplinary research in the Social Sciences	0.0650371564801093	ss
Media Studies and Communication	0.0591025305790405	ah
History	0.0494167465643975	ah
Musicology	0.0475391498881431	ah
Archaeology	0.0404153390730571	ah
History & Philosophy of Science	0.0403305990554311	ah
Anthropology	0.0394831988791719	ss
Science and Technology Studies	0.0324300047454409	ss
Sociology	0.0301218480748681	ss
Environmental Studies	0.02829751655255	ss
Demography	0.0268060922423338	ss
Human Geography and Urban Studies	0.0255010959708946	ss
Business and Management	0.023303504847129	ss
Art and Art History	0.0190689251091935	ah
Social Statistics and Informatics	0.0169564775269473	ss
Law	0.0167785234899328	ss
Literature	0.0146479173324811	ah
Interdisciplinary research in the Humanities	0.0133961862149781	ah
Political Sciences and International Relations	0.0127836369447107	ss
Economics	0.0125354697502348	ss
Gender Studies	0.00519335250878874	ss
Cultural Studies	0.00295621604346436	ah
Film and Theatre Studies	0.00159795461808884	ah
