discipline	perc	type
Digital Humanities	45.5640744797371	dh
Linguistics	18.5195326761592	ah
Psychology	12.6140927345747	ss
Pedagogical & Educational Research	3.9521723256663	ss
Anthropology	2.83032958279398	ss
Philosophy	2.09930631617378	ah
Media Studies and Communication	1.5433635367918	ah
Interdisciplinary research in the Social Sciences	1.11437485479106	ss
Library and Information Science	1.06790799561884	ah
Archaeology	0.986590992067442	ah
History & Philosophy of Science	0.930996714129243	ah
Literature	0.912741876597298	ah
History	0.903614457831325	ah
Sociology	0.776660360450064	ss
Business and Management	0.739320920043811	ss
Musicology	0.657174151150054	ah
Art and Art History	0.575027382256298	ah
Science and Technology Studies	0.475455541172956	ss
Human Geography and Urban Studies	0.466328122406983	ss
Environmental Studies	0.466328122406983	ss
Interdisciplinary research in the Humanities	0.465498357064622	ah
Economics	0.448073284875037	ss
Political Sciences and International Relations	0.438116100766703	ss
Demography	0.429818447343091	ss
Social Statistics and Informatics	0.311162003385442	ss
Gender Studies	0.255567725447243	ss
Law	0.219058050383351	ss
Classical Studies	0.146038700255568	ah
Religious Studies and Theology	0.0547645125958379	ah
Film and Theatre Studies	0.0365096750638919	ah
