discipline	perc	type
Other	90.6098940656173	other
Digital Humanities	4.27851486166819	dh
Linguistics	1.7390037368439	ah
Psychology	1.18447667043779	ss
Pedagogical & Educational Research	0.371113168089409	ss
Anthropology	0.265770946116517	ss
Philosophy	0.197127086975898	ah
Media Studies and Communication	0.14492347105738	ah
Interdisciplinary research in the Social Sciences	0.104640979371001	ss
Library and Information Science	0.100277692070348	ah
Archaeology	0.0926419392942067	ah
History & Philosophy of Science	0.0874215777023549	ah
Literature	0.0857074291199558	ah
History	0.0848503548287562	ah
Sociology	0.0729292305966169	ss
Business and Management	0.0694230175871642	ss
Musicology	0.0617093489663682	ah
Art and Art History	0.0539956803455722	ah
Science and Technology Studies	0.0446457789870315	ss
Environmental Studies	0.043788704695832	ss
Human Geography and Urban Studies	0.043788704695832	ss
Interdisciplinary research in the Humanities	0.0437107888511775	ah
Economics	0.0420745561134328	ss
Political Sciences and International Relations	0.0411395659775788	ss
Demography	0.0403604075310337	ss
Social Statistics and Informatics	0.0292184417454395	ss
Gender Studies	0.0239980801535876	ss
Law	0.0205697829887894	ss
Classical Studies	0.0137131886591929	ah
Religious Studies and Theology	0.00514244574719735	ah
Film and Theatre Studies	0.00342829716479823	ah
