id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
369084	36	1.1489	0.1047	4	537	4.5445	50755	0.0000197024923652842	0.0000197024923652842	0
23886	37	-0.5389	-0.3168	1	2515	10.7285	50674	0	0	0
397396	38	1.066	-0.2301	2	2111	17.8095	50318	0	0	0
315614	39	-0.7222	-0.3953	1	2673	19.7081	49517	0	0	0
345442	40	0.0191	0.3229	4	3953	15.0755	48596	0	0	0
366910	41	-0.1658	0.958	3	2029	18.1734	48452	0	0	0
375178	42	-0.5478	-0.1198	1	2778	9.6838	48416	0	0	0
350630	43	0.145	0.559	4	2997	14.459	48336	0	0	0
174103	44	0.1495	0.6397	4	2679	9.8028	47982	0	0	0
360398	45	-0.4271	0.3989	3	3055	14.5531	47357	0	0	0
69464	46	0.5438	0.3652	4	3103	17.9081	47333	0	0	0
154509	47	-0.5554	-0.3411	1	2586	13.5102	47068	0	0	0
363170	48	0.6513	0.2387	4	2085	7.9061	46701	0	0	0
277541	49	-0.1156	-0.4729	1	3572	25.3024	46234	0	0	0
305086	50	-0.1458	0.9583	3	1713	11.2366	46137	0	0	0
232760	51	0.5005	0.5903	4	1436	5.4723	45958	0	0	0
365023	52	-0.07	0.1817	4	2734	9.6731	45381	0	0	0
300139	53	-0.3177	-0.156	5	2828	20.3086	45358	0	0	0
418031	54	0.5074	0.6167	4	1612	7.3342	45278	0	0	0
392718	55	0.0369	0.7443	3	2639	12.0283	44609	0	0	0
172499	56	-0.6904	-0.2706	1	2343	7.5072	44604	0	0	0
342901	57	0.8325	0.2376	4	1433	10.2749	44332	0	0	0
418006	58	0.2036	0.5409	4	2127	6.0963	44089	0	0	0
222586	59	-0.7142	-0.4685	1	2779	19.1864	43995	0	0	0
422539	60	-0.6586	-0.3436	1	2563	12.2462	43922	0	0	0
57985	61	1.4304	-0.3276	6	1035	12.838	43920	0	0	0
427647	62	-0.7016	-0.4657	1	2716	21.0695	43394	0	0	0
217502	63	0.8006	-0.1168	2	1995	11.3527	43155	0	0	0
327044	64	-0.5347	-0.3613	1	2789	11.1767	42342	0	0	0
183037	65	-0.6264	-0.3111	1	2740	9.4448	41724	0.0000239670213785831	0.0000239670213785831	0
366610	66	1.2284	-0.2481	6	1112	10.3547	41667	0	0	0
205245	67	0.6806	0.3572	4	1565	6.2966	41649	0	0	0
133342	68	-0.6691	-0.2269	1	2783	11.8193	41496	0	0	0
358099	69	0.1434	0.5474	4	3519	14.8357	41330	0	0	0
408046	70	-0.5513	-0.374	1	2855	15.1127	40807	0	0	0
190469	71	0.214	0.1746	5	2227	10.7122	40807	0	0	0
424843	72	0.1822	0.1476	4	3036	11.4976	40776	0.0000245242299391799	0.0000245242299391799	0
383180	73	0.208	0.2206	5	2710	10.9033	40581	0	0	0
321666	74	-0.1214	-0.4339	5	2498	10.2372	40420	0	0	0
416215	75	1.0351	-0.0439	4	1121	5.2136	40322	0	0	0
321832	76	-0.257	-0.0896	5	2539	8.9525	39397	0	0	0
164651	77	-0.442	0.419	3	2930	10.3953	39348	0	0	0
418995	78	-0.5708	-0.1279	1	3317	15.2286	39010	0	0	0
326513	79	-0.1065	-0.4154	5	2496	11.1123	38848	0	0	0
368183	80	-0.7061	-0.4885	1	2583	20.3011	38387	0	0	0
250743	81	-0.6235	-0.5047	1	2438	11.7582	37961	0	0	0
110219	82	-0.4954	0.1566	1	2765	7.8226	37541	0	0	0
356513	83	-0.488	0.1995	1	2948	7.5987	37486	0	0	0
240060	84	0.9688	-0.1212	2	1101	6.3127	37320	0	0	0
403370	85	-0.2995	0.1106	5	2788	7.8417	37200	0	0	0
422275	86	-0.1095	0.0499	4	4108	17.6515	37078	0	0	0
422021	87	-0.2263	0.861	3	2452	16.6233	37062	0	0	0
345885	88	-0.6856	-0.441	1	2379	11.6478	37023	0	0	0
390859	89	-0.0047	0.7829	3	2796	13.1164	36900	0	0	0
430747	90	0.5836	0.4846	4	1610	5.0796	36750	0	0	0
337159	91	-0.6835	-0.2295	1	2462	11.3728	36642	0	0	0
397172	92	0.5745	-0.0346	5	1713	7.1261	36601	0	0	0
67505	93	0.8865	0.0129	4	1300	5.0876	36568	0	0	0
387129	94	-0.1355	-0.2719	5	2751	8.9178	36054	0	0	0
235981	95	-0.5645	-0.4835	1	2833	15.3701	35747	0	0	0
37879	96	0.144	0.7386	4	2456	8.0522	35726	0	0	0
399531	97	1.5255	-0.3467	6	975	11.9938	35715	0	0	0
366256	98	-0.5756	0.0167	1	2809	8.7411	35660	0	0	0
376749	99	-0.7225	-0.4108	1	2769	16.0297	35602	0	0	0
399837	100	0.9278	-0.1191	2	1055	4.3125	35423	0	0	0
201820	101	0.2686	0.6448	4	2381	8.5173	35055	0	0	0
297064	102	-0.117	0.622	3	2594	13.3533	34607	0	0	0
421029	103	-0.0586	0.9302	3	1944	11.7413	34591	0	0	0
414323	104	0.4039	0.5342	4	2213	6.289	34588	0	0	0
236999	105	-0.6389	-0.2862	1	2686	9.5251	34551	0	0	0
390999	106	-0.4728	0.4285	3	2446	7.073	34419	0	0	0
397155	107	1.0899	0.0714	4	699	3.4513	34399	0	0	0
421190	108	0.3416	0.6475	4	2339	7.0305	34261	0	0	0
419965	109	-0.1618	0.1822	7	2422	8.0895	34186	0	0	0
203485	110	-0.8305	-0.4905	1	2585	15.9291	34028	0	0	0
402662	111	0.8927	0.0583	2	1145	5.4564	34005	0	0	0
231695	112	-0.402	0.3105	3	2484	8.6599	33577	0	0	0
159019	113	-0.5357	-0.3464	1	2577	6.3785	33561	0	0	0
372083	114	-0.5393	0.3105	3	2442	6.9943	33485	0	0	0
410370	115	-0.4328	-0.2629	5	2251	6.1378	33081	0	0	0
