discipline	pubs	type
Psychology	415193	ss
Pedagogical & Educational Research	100636	ss
Anthropology	68952	ss
Business and Management	57723	ss
Economics	46143	ss
Linguistics	37108	ah
Philosophy	26500	ah
Political Sciences and International Relations	24802	ss
Interdisciplinary research in the Social Sciences	18210	ss
Archaeology	16912	ah
History	13490	ah
Sociology	13477	ss
Gender Studies	11720	ss
Science and Technology Studies	11398	ss
Human Geography and Urban Studies	10215	ss
History & Philosophy of Science	9149	ah
Interdisciplinary research in the Humanities	8791	ah
Musicology	8771	ah
Media Studies and Communication	8202	ah
Religious Studies and Theology	7158	ah
Environmental Studies	6088	ss
Library and Information Science	4979	ah
Art and Art History	3804	ah
Law	3177	ss
Literature	3120	ah
Demography	2908	ss
Social Statistics and Informatics	1544	ss
Cultural Studies	882	ah
Classical Studies	266	ah
Film and Theatre Studies	205	ah
