paper_id	doi
2056139949	10.2218/ijdc.v4i2.100
2153727195	10.1093/llc/fqp026
2400127256	10.1023/A:1002747531928
2021630470	10.2218/ijdc.v4i3.122
2111856253	10.1162/coli.2007.33.1.9
611329444	10.1045/november2009-inbrief
2168297987	10.1093/llc/fqr029
2398826694	
1485193791	10.1007/PL00021476
1968538280	10.1007/s00799-007-0009-6
2474424019	10.1162/COLI_a_00274
2020356977	10.1080/19386389.2011.570654
2963950738	10.1080/09296174.2017.1366095
1979725451	10.1045/september2012-leetaru
2044496989	10.1045/july2010-harnad
2093615805	10.1045/april2002-friedlander
267890481	10.1023/A:1002089109613
2243423944	10.1045/november2015-torvik
2064132491	10.1093/llc/fqn022
2016971174	10.1045/june2005-beagrie
2094099238	10.1080/19386389.2010.506389
2506977848	10.1007/s00799-016-0187-1
153854902	
2130072181	10.1162/089120100561692
2014055101	10.1007/s00799-004-0109-5
2137030823	10.1093/llc/fql002
2023427252	10.1007/s00799-008-0033-1
21081268	10.1023/A:1026475818476
2020460782	10.1080/09296174.2010.512161
2126282862	10.1093/llc/fqt043
2168547935	10.1023/A:1017549100097
2107887006	10.1093/llc/fqi025
2027472019	10.1080/09296174.2012.685305
2007687175	10.1045/july2007-littman
2044297850	10.1080/19386389.2011.629958
2156928086	10.1007/s00799-015-0153-3
2003614561	10.1080/09296174.2012.714538
1765847885	10.3389/fdigh.2015.00004
2100368767	10.1162/COLI_a_00162
2052905588	10.1007/s00799-004-0105-9
2040249782	10.2218/ijdc.v4i2.91
2056943063	10.1080/19386380903405165
2616283647	10.3389/fdigh.2017.00010
2110067056	10.1093/llc/fqw050
2167417018	10.1080/09296170903395924
2159457224	10.1162/coli_a_00034
2091117392	10.1162/COLI_a_00202
2121801714	10.1093/llc/fqp018
2562910494	10.1162/COLI_a_00278
1966173606	10.1045/july2013-wright
1982425031	10.1045/february2006-jerez
2159852928	10.1007/s00799-003-0066-4
2067776268	10.1093/llc/18.2.175
2154012505	
2002425574	10.1045/june2000-kresh
2085048451	10.1080/19386389.2012.652565
2039800183	10.1007/s00799-005-0127-y
2052697952	10.1080/09296174.2013.799910
2085294311	10.1080/09296174.2012.659003
2947539175	
1973590673	10.1093/llc/16.2.161
2078545337	10.1045/october2005-morgan
2001216625	10.2218/ijdc.v6i1.182
2172210022	10.2218/ijdc.v4i1.72
2003972142	10.1045/march2004-fang
2040075948	10.1093/llc/16.4.467
2002005878	10.1045/november2002-zia
2059505190	10.1080/09296174.2010.485450
2057960659	10.1007/s10579-004-8682-1
2026040448	10.1080/19386380903405074
2110783479	10.2218/ijdc.v3i1.42
1983288204	10.1076/jqul.10.2.193.16711
2068261913	10.1093/llc/fqu008
2109599904	10.1162/COLI_a_00203
2065938813	10.1080/10911360802087366
1997739353	10.1045/april2006-mckinney
2005336001	10.1045/april2001-liu
2045472625	10.1045/january2003-dobratz
2509531725	10.1007/s00799-016-0192-4
2963295431	
2011950632	10.1162/089120102762671945
2059026346	10.1045/march2001-gambles
2187434720	10.4995/var.2011.4579
2950967945	
2255708599	
2076421256	10.1007/s00799-005-0135-y
2001327846	10.1007/s00799-005-0133-0
2139032669	10.3366/ijhac.2011.0022
2398938478	
2843372662	10.1007/s00799-018-0251-0
1999937992	10.1093/llc/fqs033
1592220597	
1981080848	10.1093/llc/fqn016
2021568158	10.1162/COLI_a_00197
1991140088	10.1007/PL00021475
2120922864	10.1080/09296170802514187
1997105536	10.1045/september2005-bearman
1985234720	10.2218/ijdc.v8i1.246
2398452434	10.1045/may2004-goodchild
1782966390	10.2172/764964
2029344051	10.1162/COLI_a_00146
2114550122	10.1162/coli_a_00006
1998161216	10.1045/october2005-crane
2397890110	
2147939204	
2092260873	10.1080/19386380802398503
2056111196	10.1076/jqul.9.1.49.8482
2140295295	10.1093/llc/fqv028
1979189943	10.3366/ijhac.2011.0007
2011395968	10.1045/may2005-rydberg-cox
2138957265	10.2218/ijdc.v4i2.101
2077560392	10.3366/E1753854809000330
1987597775	10.1045/july2014-oldman
1543187076	
2115753373	10.1162/089120103321337467
2095925310	10.1162/coli.2007.33.2.229
2035695229	10.1007/s00799-004-0104-x
1560089879	10.1023/A:1022604723049
1546853291	
43048615	10.1023/A:1025779619903
1988781868	10.1045/july2006-lavoie
2091441737	10.1045/october2003-george
2991839344	
2963414181	
2084301656	10.1162/COLI_a_00159
2052474702	10.1162/coli.2006.32.2.159
2092654472	10.1162/089120103322753356
1979394198	10.1045/november2000-seadle
1236941600	10.1007/s00799-013-0106-7
2161383849	10.1162/089120102317341800
2004748917	10.1007/s00799-012-0079-y
2070698809	10.2218/ijdc.v9i2.335
1971210477	10.1045/november2013-simons
1982295240	10.1093/llc/17.4.413
1988343039	10.1093/llc/15.1.5
2095600826	10.1007/s00799-012-0092-1
2132502917	10.1162/coli.2008.34.4.627
2064199332	10.1045/july2009-papatheodorou
1981611149	10.1007/s00799-009-0052-6
2080237260	10.1093/llc/19.4.497
2024752355	10.1045/january2006-foulonneau
2270423142	10.1162/coli.2000.26.2.294a
2097806569	10.2218/ijdc.v4i1.86
2039664673	10.2218/ijdc.v6i1.173
2043906720	10.1045/may2000-rudner
1968365837	10.1045/january2010-hillmann
2032408861	10.1045/january2007-coyle
2093147670	10.1045/april2005-hammond
1982892676	10.1007/s00799-004-0096-6
1968176624	10.1162/coli_a_00011
2078533580	10.2218/ijdc.v4i3.117
1908479511	10.1162/COLI_a_00229
2058118445	10.1023/B:CHUM.0000031172.03949.48
2021099828	10.1080/09296174.2011.581848
2189291506	10.4995/var.2011.4606
2275957045	10.1093/llc/fqv037
1995998437	10.2218/ijdc.v9i1.304
1999157599	10.1007/s00799-005-0124-1
1550906504	10.1007/PL00021478
2168036300	10.1162/089120101753342662
1587302206	10.1023/A:1013115314064
2137527065	10.1162/coli.2006.32.3.341
1967611035	10.1093/llc/19.4.431
2101541586	10.1045/september2007-treloar
2033031404	10.1007/s00799-010-0058-0
2022225585	10.1045/march2001-vandesompel
1967737214	10.2218/ijdc.v4i2.95
2054056512	10.2218/ijdc.v4i2.103
1720739885	10.1162/089120104773633420
1967952574	10.1076/jqul.10.2.105.16712
2159637096	10.1162/coli.2010.36.1.36102
2170939614	10.1093/llc/fqi031
1994818975	10.1007/s00799-007-0017-6
2073739725	10.1080/09296170801961827
2614826968	10.1080/09296174.2011.533589
2096577288	10.1093/llc/fqs071
