id	level	outgoing	incoming	doi
2602805656	1	0	0	10.2218/ijdc.v4i2.100
105965963	1	0	1	10.1093/llc/fqp026
107452702	1	0	0	10.1023/A:1002747531928
11244516	1	0	2	10.2218/ijdc.v4i3.122
113659751	1	0	2	10.1162/coli.2007.33.1.9
11401812	1	0	0	10.1045/november2009-inbrief
1149163337	1	0	0	10.1093/llc/fqr029
1149468039	1	0	0	
115589142	1	0	0	10.1007/PL00021476
125411396	1	0	0	10.1007/s00799-007-0009-6
138954576	1	1	5	10.1162/COLI_a_00274
1424971473	1	0	0	10.1080/19386389.2011.570654
1435971189	1	3	2	10.1080/09296174.2017.1366095
143727535	1	0	14	10.1045/september2012-leetaru
1444391537	1	0	0	10.1045/july2010-harnad
146646739	1	0	4	10.1045/april2002-friedlander
148187220	1	2	1	10.1023/A:1002089109613
1482419100	1	0	0	10.1045/november2015-torvik
1484042991	1	0	4	10.1093/llc/fqn022
1484215740	1	0	0	10.1045/june2005-beagrie
1485177226	1	10	0	10.1080/19386389.2010.506389
1485221229	1	26	48	10.1007/s00799-016-0187-1
1486657297	1	8	0	
1487080754	1	0	0	10.1162/089120100561692
1487298676	1	12	2	10.1007/s00799-004-0109-5
1489348810	1	4	43	10.1093/llc/fql002
1493000357	1	0	0	10.1007/s00799-008-0033-1
1493676178	1	7	0	10.1023/A:1026475818476
1494182431	1	0	0	10.1080/09296174.2010.512161
1494304945	1	0	0	10.1093/llc/fqt043
1495179863	1	3	0	10.1023/A:1017549100097
1495654639	1	7	2	10.1093/llc/fqi025
1496244283	1	0	1	10.1080/09296174.2012.685305
1496714793	1	0	0	10.1045/july2007-littman
1497036373	1	0	0	10.1080/19386389.2011.629958
1498215676	1	20	7	10.1007/s00799-015-0153-3
1498838300	1	0	0	10.1080/09296174.2012.714538
1499417086	1	0	0	10.3389/fdigh.2015.00004
1501251607	1	4	2	10.1162/COLI_a_00162
1501422402	1	0	0	10.1007/s00799-004-0105-9
1502027439	1	0	0	10.2218/ijdc.v4i2.91
1502117761	1	0	0	10.1080/19386380903405165
1502582543	1	0	0	10.3389/fdigh.2017.00010
1502632838	1	0	0	10.1093/llc/fqw050
1502873805	1	0	0	10.1080/09296170903395924
1503815207	1	0	0	10.1162/coli_a_00034
1504718005	1	2	0	10.1162/COLI_a_00202
1504819070	1	32	6	10.1093/llc/fqp018
1505524995	1	4	17	10.1162/COLI_a_00278
1507727839	1	4	12	10.1045/july2013-wright
1509242116	1	5	1	10.1045/february2006-jerez
1510506686	1	0	0	10.1007/s00799-003-0066-4
1511631270	1	0	0	10.1093/llc/18.2.175
1511980079	1	9	1	
1514200986	1	0	0	10.1045/june2000-kresh
1514210341	1	0	0	10.1080/19386389.2012.652565
1514747754	1	0	0	10.1007/s00799-005-0127-y
1514937726	1	0	0	10.1080/09296174.2013.799910
1515884023	1	0	0	10.1080/09296174.2012.659003
1515943448	1	0	0	
1517047312	1	0	0	10.1093/llc/16.2.161
1518373311	1	28	29	10.1045/october2005-morgan
1519888272	1	0	0	10.2218/ijdc.v6i1.182
1522285541	1	0	0	10.2218/ijdc.v4i1.72
1524348868	1	0	0	10.1045/march2004-fang
1527374027	1	1	0	10.1093/llc/16.4.467
1527854443	1	0	0	10.1045/november2002-zia
1528980146	1	4	0	10.1080/09296174.2010.485450
1530260651	1	0	0	10.1007/s10579-004-8682-1
1530928975	1	0	0	10.1080/19386380903405074
1535773392	1	0	0	10.2218/ijdc.v3i1.42
1535904379	1	0	1	10.1076/jqul.10.2.193.16711
1537341275	1	0	0	10.1093/llc/fqu008
1538415244	1	0	0	10.1162/COLI_a_00203
1540062415	1	0	1	10.1080/10911360802087366
1544653719	1	0	0	10.1045/april2006-mckinney
1545477088	1	0	0	10.1045/april2001-liu
1546188463	1	0	0	10.1045/january2003-dobratz
1548269690	1	0	0	10.1007/s00799-016-0192-4
1548875414	1	0	0	
1549384979	1	11	16	10.1162/089120102762671945
1553204657	1	0	0	10.1045/march2001-gambles
1553535191	1	0	0	10.4995/var.2011.4579
1555161889	1	0	6	
1555963687	1	0	0	
1556450178	1	0	0	10.1007/s00799-005-0135-y
1557802437	1	0	0	10.1007/s00799-005-0133-0
1558566823	1	0	0	10.3366/ijhac.2011.0022
1559065557	1	0	2	
1559458564	1	0	0	10.1007/s00799-018-0251-0
1559483088	1	0	0	10.1093/llc/fqs033
1559489027	1	0	0	
1560089879	1	6	2	10.1093/llc/fqn016
1560291996	1	0	0	10.1162/COLI_a_00197
1562804680	1	0	1	10.1007/PL00021475
1563991461	1	0	2	10.1080/09296170802514187
1566216979	1	0	0	10.1045/september2005-bearman
1567428721	1	0	0	10.2218/ijdc.v8i1.246
1567848387	1	0	1	10.1045/may2004-goodchild
1568945535	1	0	0	10.2172/764964
1573149547	1	3	18	10.1162/COLI_a_00146
1576193786	1	0	0	10.1162/coli_a_00006
1577842164	1	21	11	10.1045/october2005-crane
1579103827	1	13	0	
1585336946	1	0	0	
1587302206	1	0	1	10.1080/19386380802398503
1589546811	1	0	0	10.1076/jqul.9.1.49.8482
1591058388	1	0	0	10.1093/llc/fqv028
1591063831	1	0	0	10.3366/ijhac.2011.0007
1591768531	1	32	0	10.1045/may2005-rydberg-cox
1592350672	1	0	0	10.2218/ijdc.v4i2.101
1592381037	1	0	3	10.3366/E1753854809000330
1593082776	1	10	10	10.1045/july2014-oldman
1593410835	1	0	0	
1594556796	1	11	3	10.1162/089120103321337467
1595652811	1	0	0	10.1162/coli.2007.33.2.229
1597635189	1	32	1	10.1007/s00799-004-0104-x
1602770737	1	0	0	10.1023/A:1022604723049
1603115356	1	0	0	
