discipline	perc	type
Linguistics	21.8621227308164	ah
Digital Humanities	21.6950662657312	dh
Psychology	20.0634814567324	ss
Pedagogical & Educational Research	7.25841778965736	ss
Philosophy	4.7759587184913	ah
Anthropology	3.04137263041373	ss
Literature	1.93859746816646	ah
Business and Management	1.92300553142518	ss
Library and Information Science	1.89627649701155	ah
Media Studies and Communication	1.68524537051099	ah
Art and Art History	1.46564205368081	ah
Interdisciplinary research in the Social Sciences	1.45173755598079	ss
Musicology	1.44782269740506	ah
Archaeology	1.30584157647305	ah
History & Philosophy of Science	1.13338530645581	ah
Economics	1.03001279078793	ss
History	0.864981252552252	ah
Sociology	0.770147178433179	ss
Interdisciplinary research in the Humanities	0.72576753164792	ah
Political Sciences and International Relations	0.67565059212236	ss
Science and Technology Studies	0.629448511172534	ss
Human Geography and Urban Studies	0.524388556463398	ss
Gender Studies	0.471470468129339	ss
Law	0.363811857296655	ss
Environmental Studies	0.346194993705853	ss
Religious Studies and Theology	0.204180123993021	ah
Demography	0.120483147546295	ss
Social Statistics and Informatics	0.1152858352992	ss
Film and Theatre Studies	0.0816720495972083	ah
Cultural Studies	0.067565059212236	ah
Classical Studies	0.0649664030886885	ah
