discipline	perc	type
Other	75.4380221750954	other
Digital Humanities	5.06696650962869	dh
Linguistics	5.02754095560713	ah
Psychology	4.77091902816723	ss
Pedagogical & Educational Research	1.89000697419549	ss
Philosophy	1.27955137420118	ah
Literature	0.690635126223453	ah
Anthropology	0.674788995004202	ss
Business and Management	0.547118518623952	ss
Media Studies and Communication	0.446870389084201	ah
Library and Information Science	0.424477053948014	ah
Musicology	0.399948761012826	ah
Art and Art History	0.391124268776956	ah
History	0.362420947257056	ah
Int. research in S.S.	0.339742951081002	ss
Archaeology	0.338224758868379	ah
History & Philosophy of Science	0.330965902351776	ah
Economics	0.255008848213991	ss
Political Sciences	0.216721938351909	ss
Int. research in H.	0.182277952528028	ah
Sociology	0.166431821308778	ss
Science and Technology Studies	0.145556678385214	ss
Gender Studies	0.131892948471608	ss
Human Geography and Urban Studies	0.0980657282341058	ss
Law	0.0898580015846136	ss
Religious Studies and Theology	0.0789934385630315	ah
Environmental Studies	0.0696945112607167	ss
Classical Studies	0.0597788183720238	ah
Film and Theatre Studies	0.0279916689202334	ah
Cultural Studies	0.0238166403355206	ah
Demography	0.0182183065514739	ss
Social Statistics and Informatics	0.0163680097923399	ss
