discipline	perc	type
Other	89.3842887473459	other
Linguistics	3.58656726742546	ah
Digital Humanities	3.11766677841099	dh
Psychology	1.02691708038674	ss
Pedagogical & Educational Research	0.623915813951013	ss
Library and Information Science	0.359361115101979	ah
Philosophy	0.231204337808427	ah
Literature	0.151260582454012	ah
History	0.13364533059471	ah
Interdisciplinary research in the Humanities	0.131665416194414	ah
Archaeology	0.122812338702382	ah
Art and Art History	0.119506568970196	ah
Musicology	0.11620079923801	ah
Science and Technology Studies	0.105062949305323	ss
Media Studies and Communication	0.104171655252782	ah
Anthropology	0.102512118938535	ss
Business and Management	0.0997085335419226	ss
Interdisciplinary research in the Social Sciences	0.0887680099044496	ss
History & Philosophy of Science	0.0576414496964278	ah
Sociology	0.0566348638758963	ss
Political Sciences and International Relations	0.0447221202333505	ss
Religious Studies and Theology	0.0386781710113925	ah
Law	0.0319579912271833	ss
Human Geography and Urban Studies	0.0284792838430116	ss
Social Statistics and Informatics	0.0227446269601817	ss
Environmental Studies	0.0216582237618107	ss
Economics	0.0213788629393725	ss
Cultural Studies	0.0186639635181371	ah
Film and Theatre Studies	0.0184245113846186	ah
Gender Studies	0.0170942217539603	ss
Classical Studies	0.0163758653534047	ah
Demography	0.00031040091382029	ss
