id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<Perc AH pubs>	score<Perc DH pubs>	score<Perc DH pubs level 1>	score<Perc DH pubs level 2>	score<Perc DH pubs level 3>	description
2510	0	1.4946	-0.2578	2	978	4.8607	41024	4.875195E-05	0	0	0	0	<td>Astrophysical Journal; Monthly Notices of the Royal Astronomical Society; Astronomy and Astrophysics; Astronomical Journal; Astrophysical Journal Letters</td>
2297205	1	0.8708	-0.4336	2	2739	8.7531	40376	2.476719E-05	0	0	0	0	<td>Physical Review B - Condensed Matter and Materials Physics; Applied Physics Letters; Carbon; Journal of Physical Chemistry C; Nano Letters</td>
2256	2	0.2954	-0.3749	2	2672	8.3658	39255	0	0	0	0	0	<td>Desalination and Water Treatment; Journal of Hazardous Materials; Chemical Engineering Journal; Journal of Colloid and Interface Science; Bioresource Technology</td>
689313	3	0.6248	-0.4685	2	2374	7.4387	38941	5.135975E-05	2.567987E-05	0	0	2.567987E-05	<td>Applied Catalysis B: Environmental; Applied Surface Science; Journal of Physical Chemistry C; Journal of Photochemistry and Photobiology A: Chemistry; RSC Advances</td>
641721	4	0.7262	-0.1424	5	1218	6.1626	37599	0.0002127716	2.659645E-05	0	0	2.659645E-05	<td>Acta Petrologica Sinica; Lithos; Journal of Asian Earth Sciences; Precambrian Research; Ore Geology Reviews</td>
636011	5	1.2788	-0.1317	2	1345	7.3547	37118	0.002694111	2.694111E-05	0	0	2.694111E-05	<td>Physical Review A - Atomic, Molecular, and Optical Physics; Physical Review Letters; Physical Review A; International Journal of Theoretical Physics; Quantum Information Processing</td>
264423	6	0.8318	-0.1473	2	1979	5.7832	36683	0.0003543876	0.0001635635	0	0	0.0001635635	<td>Construction and Building Materials; Cement and Concrete Research; Cement and Concrete Composites; Materials and Structures/Materiaux et Constructions; Journal of Materials in Civil Engineering</td>
312276	7	0.5993	-0.5367	2	1997	6.3683	35707	0.0001400286	0	0	0	0	<td>Applied Physics Letters; Organic Electronics: physics, materials, applications; Journal of Physical Chemistry C; Advanced Materials; ACS applied materials & interfaces</td>
642034	8	0.3411	-0.5902	6	2184	8.6532	33649	0	0	0	0	0	<td>CrystEngComm; Acta Crystallographica Section E: Structure Reports Online; Crystal Growth and Design; Inorganic Chemistry Communication; Inorganic Chemistry</td>
1039	9	0.3232	0.7062	3	1997	9.2339	32881	0.008758858	0.004774794	0	9.12381E-05	0.004683556	<td>Journal of Business Research; Journal of Retailing and Consumer Services; Computers in Human Behavior; Journal of Services Marketing; International Journal of Retail and Distribution Management</td>
452900	10	0.9026	-0.4884	2	2003	6.2245	31827	6.283972E-05	0	0	0	0	<td>Applied Physics Letters; Applied Surface Science; Journal of Applied Physics; Materials Letters; Thin Solid Films</td>
153461	11	0.7676	-0.4817	2	2215	6.4117	31542	3.170376E-05	0	0	0	0	<td>Journal of Luminescence; Journal of Alloys and Compounds; Optical Materials; Journal of Rare Earths; Materials Research Bulletin</td>
60258	12	0.6549	0.5271	4	1895	7.309	31126	0.0005140397	0.0009638245	0	0	0.0009638245	<td>International Journal of Production Economics; European Journal of Operational Research; International Journal of Production Research; Computers and Industrial Engineering; Production and Operations Management</td>
744463	13	0.6458	0.0877	5	1693	3.735	30652	0.002185828	0	0	0	0	<td>Journal of Climate; Geophysical Research Letters; Journal of Geophysical Research; Climate Dynamics; Journal of Physical Oceanography</td>
