eid	level	doi
0000023031	2	10.1162/089120100561737
0000600049	2	10.1007/s007999900025
0000722497	2	10.1007/s007990000037
0001277731	2	NULL
0005930166	2	NULL
0006036489	2	NULL
0006606683	2	NULL
0008501167	2	NULL
0008564632	2	NULL
0010597740	2	10.1007/s007999900022
0012259830	2	10.1162/089120100561610
0012658754	2	10.1007/s007990000036
0012793451	2	10.1076/jqul.9.1.1.8480
0012981542	2	10.1162/089120100561719
0013296929	2	10.1007/BF01206127
0013465675	2	10.1007/BF01205739
0037663991	2	10.1007/s007999900020
0037735758	2	10.1162/089120103322145324
0037870455	2	10.1162/089120102317341756
0037888721	2	10.1007/BF01206126
0037956010	2	NULL
0038192779	2	10.1007/s001460200017
0038765969	2	10.1162/089120101750300508
0038814456	2	NULL
0038845482	2	10.1162/089120100561647
0038891679	2	10.1162/089120102760173652
0038893598	2	NULL
0038972285	2	10.1162/089120101753342635
0039190150	2	10.1162/089120101317066122
0039255896	2	NULL
0039299872	2	NULL
0039299874	2	10.1162/089120101753342644
0039330854	2	10.1162/089120100561629
0039332964	2	NULL
0039484385	2	10.1162/089120102760276009
0039484386	2	10.1162/089120102760275992
0039486312	2	10.1162/089120102762671972
0039486313	2	10.1162/089120102762671963
0039486316	2	NULL
0039486317	2	NULL
0039693335	2	NULL
0039847637	2	NULL
0039847641	2	10.1162/089120100561665
0039891959	2	10.1162/089120101753342653
0039891962	2	NULL
0039892030	2	NULL
0039925298	2	NULL
0039980357	1	NULL
0040076115	2	10.1162/089120102760173625
0040076126	2	10.1162/089120102760275983
0040078056	2	10.1162/089120102762671936
0040078058	2	10.1162/089120102317341783
0040484980	2	10.1162/089120101753342662
0040669675	2	10.1162/089120102760173643
0040669679	2	10.1162/089120102760173634
0040669692	2	NULL
0040671641	2	10.1162/089120102317341765
0041029029	2	NULL
0041079008	2	10.1162/089120101750300490
0041079041	2	10.1162/089120101750300526
0041112231	2	NULL
0041376679	2	10.1162/089120103321337412
0041877353	2	10.1162/089120103321337458
0041877366	2	10.1162/089120103322145306
0041877367	2	10.1162/089120103322145315
0042270425	1	10.1023/A:1011856202986
0042378595	2	10.1162/089120103321337449
0042378596	2	10.1162/089120103321337430
0042879603	2	10.1162/089120103321337467
0042879653	2	10.1162/089120103321337421
0042879664	2	10.1162/089120103322145298
0142046683	1	10.1023/A:1002632712378
0142094815	1	10.1023/A:1021814530952
0142121717	2	10.1007/BF01208705
0345138528	1	10.1023/A:1002497503122
11144350764	2	10.1007/s007990000035
13944249131	2	10.1007/s00146-004-0309-y
13944250232	2	10.1007/s00146-004-0301-6
13944255774	2	10.1007/s00146-004-0302-5
13944258071	2	10.1007/s00146-004-0300-7
13944263914	2	10.1007/s00146-004-0303-4
13944264668	2	10.1007/s00146-004-0304-3
13944275550	2	10.1007/s00146-004-0298-x
1542340393	2	10.1076/jqul.7.3.201.4108
1542518316	2	NULL
15744388460	2	10.1076/jqul.9.1.77.8479
1642398189	1	10.1023/A:1021818600001
17144367677	2	10.1007/s00799-004-0112-x
17144372585	2	10.1007/s00799-004-0110-z
