id	doi	level	outgoing	incoming
0038242244	10.1023/A:1002644326332	1	1	2
0038619428	NULL	1	0	14
0012674677	NULL	1	0	8
0012731761	10.1023/A:1002075505432	1	0	4
0040221866	10.1023/A:1002415205081	1	0	12
0039980357	NULL	1	1	11
0042270425	10.1023/A:1011856202986	1	19	32
0142046683	10.1023/A:1002632712378	1	5	26
0142094815	10.1023/A:1021814530952	1	11	57
1642380379	10.1093/llc/18.2.139	1	0	7
1642398189	10.1023/A:1021818600001	1	3	13
0345138528	10.1023/A:1002497503122	1	2	18
14544293276	10.1023/A:1002623823124	1	1	2
14844350230	10.1023/A:1020260012525	1	0	4
18444362856	10.1093/llc/18.2.117	1	0	19
18444390388	10.1023/A:1025720518994	1	4	22
21144436663	10.1023/A:1020271707826	1	1	51
21244451284	10.1093/llc/19.3.397	1	0	6
21244459280	10.1093/llc/fqi021	1	2	2
19444387647	10.1093/llc/19.1.9	1	0	13
19544370206	10.1023/A:1013197332458	1	5	2
19744376217	10.1023/A:1021895322291	1	0	4
1542534886	NULL	1	0	32
20444491384	10.1023/A:1016160114582	1	1	2
23844525683	10.1023/A:1013115314064	1	3	2
24044469687	10.1093/llc/fqi032	1	1	0
24044473798	10.1093/llc/18.4.361	1	0	20
24044482935	10.1093/llc/fqi038	1	0	0
24044488284	10.1093/llc/fqi035	1	0	3
24044506047	10.1093/llc/19.3.335	1	0	8
24044511524	10.1093/llc/fqi037	1	10	17
24044518747	10.1093/llc/fqi031	1	0	3
24044527884	10.1093/llc/fqi033	1	7	10
24044555230	10.1093/llc/fqi036	1	1	5
24044555912	10.1093/llc/fqi034	1	4	8
23944512485	10.1007/s10579-004-1926-2	1	0	31
24344487072	NULL	1	0	6
24344509080	10.1093/llc/18.3.249	1	0	6
25144443110	10.1007/s10579-005-2689-0	1	0	2
25144452455	10.1007/s10579-005-2695-2	1	14	2
25144456596	10.1007/s10579-005-2692-5	1	8	10
25144459079	10.1007/s10579-005-2698-z	1	8	2
25144463586	10.1007/s10579-005-2696-1	1	6	12
25144497596	10.1007/s10579-005-2697-0	1	24	52
25144511550	10.1007/s10579-005-2693-4	1	0	22
25144514063	10.1007/s10579-005-2699-y	1	14	40
25844460329	10.1093/llc/19.1.35	1	0	8
26844447855	10.1093/llc/fqi029	1	0	10
26844448945	10.1093/llc/17.1.89	1	0	11
26844467306	10.1093/llc/fqi002	1	0	2
26844469206	10.1023/B:CHUM.0000009290.14571.59	1	8	9
25144520281	10.1007/s10579-005-2694-3	1	12	4
26844481126	10.1093/llc/fqh046	1	1	17
26844492958	10.1093/llc/fqh032	1	3	2
26844495707	10.1093/llc/fqh040	1	1	4
26844496417	10.1093/llc/fqh053	1	0	0
26844501305	10.1093/llc/fqh044	1	2	6
26844513193	10.1023/A:1025087115665	1	1	8
26844519569	10.1093/llc/fqh045	1	4	14
26844523642	10.1093/llc/fqh043	1	6	7
26844527729	10.1093/llc/fqh041	1	7	3
26844530537	10.1093/llc/fqh052	1	0	0
28044437118	10.1093/llc/fqi046	1	5	6
28044437335	10.1093/llc/fqi050	1	2	22
28044438470	10.1093/llc/fqi045	1	7	1
28044442451	10.1093/llc/fqi048	1	7	9
28044444739	10.1093/llc/fqi051	1	1	1
28044454515	10.1093/llc/fqi049	1	0	9
28044466165	10.1093/llc/fqi065	1	0	0
28344440777	10.1023/B:CHUM.0000009291.06947.52	1	2	25
29344452951	NULL	1	1	7
2942739997	10.1023/A:1011877503081	1	1	3
26844559759	10.1093/llc/fqh047	1	1	0
26844563567	10.1023/A:1025042402655	1	1	34
26844565870	10.1093/llc/fqh042	1	7	12
26844565873	10.1093/llc/fqi001	1	8	7
26844580903	10.1093/llc/fqh048	1	0	4
26944445303	10.1023/A:1025067132504	1	0	6
27344444006	NULL	1	1	15
27544437092	10.1093/llc/fqi018	1	4	11
27644464594	10.1023/A:1002630710402	1	1	1
27644519410	10.1023/A:1013163229994	1	0	4
30344483995	10.1023/A:1025071200644	1	6	43
31044452622	10.1093/llc/fqi016	1	0	0
31044453433	10.1093/llc/fqi019	1	1	0
31044454127	10.1093/llc/fqi024	1	8	49
31044454664	10.1093/llc/fqi017	1	0	0
31044455070	10.1093/llc/fqi023	1	0	4
31144433180	10.1093/llc/fqi025	1	1	5
31144455773	10.1023/A:1026594916008	1	1	5
3142696208	10.1023/A:1014348124664	1	8	323
3142704396	NULL	1	1	5
3142752737	NULL	1	1	9
32044466673	10.1023/A:1014368121689	1	1	9
32844455345	NULL	1	3	5
3342908992	10.1023/A:1016174116399	1	2	7
3042714413	10.1023/A:1002448312963	1	0	2
31044433970	10.1093/llc/fqi022	1	1	17
31044437298	10.1093/llc/fqi026	1	3	9
31044439470	10.1023/A:1021839220474	1	3	26
31044446965	10.1093/llc/fqi015	1	0	0
31044451526	10.1093/llc/fqi020	1	3	2
33644615601	10.1007/s10579-005-7883-6	1	0	4
33644623660	10.1007/s10579-005-7884-5	1	0	40
33644632271	10.1007/s10579-005-7880-9	1	18	1540
33645277798	10.1093/llc/fqi006	1	0	0
33645289672	10.1093/llc/fqi005	1	0	0
33645290771	10.1093/llc/fqh049	1	1	2
33645294614	10.1093/llc/fqi004	1	0	0
33645300733	10.1093/llc/fqi066	1	2	9
33645304299	10.1093/llc/fqi028	1	0	1
33645305665	10.1093/llc/fqh051	1	3	17
33645312652	10.1093/llc/fqi043	1	2	5
33645312938	10.1093/llc/fqi003	1	0	0
33645325375	10.1093/llc/fqi014	1	7	11
33645327402	10.1093/llc/fqh050	1	0	1
33645599173	10.1093/llc/18.1.39	1	0	10
33646129193	10.1023/A:1017549100097	1	5	27
33646138699	10.1093/llc/16.3.299	1	0	57
33644635765	10.1007/s10579-005-7885-4	1	0	16
33644656016	10.1007/s10579-005-7882-7	1	0	138
33645237324	10.1093/llc/18.1.77	1	0	2
33645963213	10.1023/A:1002471112790	1	1	7
33645985636	10.1093/llc/19.2.197	1	0	7
33646013753	10.1093/llc/19.2.221	1	0	19
33646470157	10.1093/llc/18.4.423	1	0	38
33646564269	10.1023/A:1017563931115	1	2	4
33744938887	10.1093/llc/18.4.407	1	0	7
33744543602	10.1023/B:CHUM.0000031171.79841.02	1	4	3
33745151768	10.1023/A:1002705506386	1	1	6
33745686142	10.1093/llc/fql023	1	0	2
33745686151	10.1093/llc/fql021	1	2	2
33745686156	10.1093/llc/fql020	1	7	20
33745686164	10.1093/llc/fql017	1	2	2
33745698648	10.1093/llc/fql015	1	4	14
33745700422	10.1093/llc/fql022	1	3	18
33745700429	10.1093/llc/fql018	1	9	1
33745700434	10.1093/llc/fql019	1	5	33
33745714514	10.1093/llc/fql031	1	0	0
33745721850	10.1023/A:1021859830043	1	0	12
33745724435	10.1093/llc/17.1.61	1	0	3
33745724460	10.1093/llc/18.1.11	1	0	2
33745728427	10.1093/llc/fql016	1	0	0
33745838661	10.1023/A:1002419305990	1	2	5
33746052103	10.1023/A:1020201615753	1	2	15
33746055743	10.1023/A:1025786724466	1	7	11
33746059660	10.1023/B:CHUM.0000031185.88395.b1	1	2	19
33746060532	10.1007/s10579-006-9001-9	1	14	66
33646866698	10.1023/A:1025779619903	1	0	139
33746068301	10.1023/A:1022673822140	1	7	50
33746089184	10.1007/s10579-006-9002-8	1	2	12
33746092490	10.1007/s10579-006-9000-x	1	6	6
33746098556	10.1007/s10579-005-4822-5	1	8	66
33746878354	10.1023/A:1025729107628	1	7	2
33748540611	10.1023/A:1002787826686	1	0	11
33749650733	10.1093/llc/fql003	1	1	0
33749652056	10.1093/llc/fql013	1	0	0
33749652352	10.1093/llc/fql006	1	6	7
33749657013	10.1093/llc/fql004	1	0	0
33749659124	10.1093/llc/fql008	1	4	0
33749660533	10.1093/llc/fql007	1	1	4
33749665282	10.1093/llc/fql010	1	5	0
33749671365	10.1093/llc/fql002	1	3	3
33749671679	10.1093/llc/fql035	1	1	2
33749675008	10.1093/llc/fql001	1	1	0
33749676823	10.1093/llc/fql012	1	4	0
33749677333	10.1093/llc/fql011	1	1	11
33749682215	10.1093/llc/fql009	1	0	0
33749684484	10.1093/llc/fql005	1	0	2
33750590262	NULL	1	0	9
33750637567	10.1023/A:1017556818634	1	5	0
33750637814	10.1023/A:1002089109613	1	3	3
33750642500	10.1023/A:1011851209975	1	12	0
33750652066	10.1023/A:1002646129893	1	6	15
33750654133	10.1023/A:1017941320947	1	2	15
33750659466	10.1023/A:1002485208039	1	0	0
33750660405	10.1023/A:1026591719273	1	0	3
33750665057	10.1023/A:1002751519919	1	1	1
33750667845	10.1023/A:1026475818476	1	2	1
33750669823	10.1023/A:1002433904577	1	0	2
33750676161	10.1023/A:1002027622271	1	0	3
33750677270	10.1023/A:1017901705018	1	0	0
33746105834	10.1023/A:1025746505971	1	1	23
33750098425	10.1093/llc/18.4.379	1	0	4
33750099102	10.1093/llc/fqi039	1	8	70
33750100984	10.1093/llc/fqi030	1	1	0
33750101784	10.1093/llc/fqi064	1	5	2
33750105199	10.1093/llc/18.4.389	1	0	9
33750114935	10.1093/llc/18.2.151	1	0	6
33750120746	10.1093/llc/fqi063	1	6	13
33750123108	10.1093/llc/fqi062	1	1	2
33750132428	10.1093/llc/fqi040	1	3	3
33750137974	10.1093/llc/fqi044	1	2	3
33750137975	10.1093/llc/fqi041	1	0	0
33750138248	10.1093/llc/fqi042	1	1	3
33746099331	10.1007/s10579-005-8622-8	1	10	22
33750692045	10.1023/A:1002454919194	1	1	1
33750705960	NULL	1	0	62
33750706964	NULL	1	0	0
33750707634	NULL	1	0	0
33750710779	10.1023/A:1002423406899	1	0	3
33750719679	NULL	1	0	2
33750722848	NULL	1	1	7
33750725786	NULL	1	1	1
33750727409	NULL	1	1	1
33750733015	NULL	1	2	1
33750705008	NULL	1	0	2
33750742816	NULL	1	0	37
33845604429	10.1023/A:1014325032412	1	1	2
33845617998	10.1023/A:1020288124446	1	4	3
33845618553	10.1023/A:1016182301378	1	0	1
33845624146	10.1023/A:1016134426453	1	0	5
33845637193	10.1023/A:1014344527505	1	4	4
33845651726	10.1023/A:1013167330903	1	0	0
33845654344	10.1023/A:1013119414973	1	0	0
33845658171	10.1023/A:1016178200469	1	0	9
33845666133	10.1023/A:1016130317308	1	1	2
33845668324	10.1023/A:1016170031420	1	2	1
33845679816	10.1023/A:1016122115490	1	0	1
33845682262	10.1023/A:1022617505636	1	0	1
33845685623	10.1023/B:CHUM.0000009225.28847.77	1	10	37
