discipline	perc	type
Linguistics	34.8672985940783	ah
Digital Humanities	29.3916609706079	dh
Psychology	12.1015232249198	ss
Pedagogical & Educational Research	4.0120761223149	ss
Library and Information Science	2.67344497607652	ah
Literature	1.95038781062662	ah
Interdisciplinary research in the Social Sciences	1.50682884434038	ss
Anthropology	1.47800631054218	ss
History	1.30103716127598	ah
Philosophy	1.25514320560759	ah
Musicology	1.1790840738209	ah
Interdisciplinary research in the Humanities	0.994304420332713	ah
Archaeology	0.960804214392717	ah
Media Studies and Communication	0.793777276025667	ah
History & Philosophy of Science	0.723019670388081	ah
Sociology	0.63504711729551	ss
Art and Art History	0.620358191123331	ah
Business and Management	0.536853497379806	ss
Human Geography and Urban Studies	0.517650876502543	ss
Environmental Studies	0.488902535060704	ss
Demography	0.375249418311613	ss
Science and Technology Studies	0.325219039333868	ss
Religious Studies and Theology	0.242652084757345	ah
Political Sciences and International Relations	0.208533174035162	ss
Gender Studies	0.177774459065921	ss
Social Statistics and Informatics	0.176551916982537	ss
Economics	0.170326938953047	ss
Classical Studies	0.168335276694408	ah
Film and Theatre Studies	0.0809414674960883	ah
Cultural Studies	0.0735365916701599	ah
Law	0.0136705399863293	ss
