discipline	perc	type
Other	59.0826457838053	other
Linguistics	14.2667760713568	ah
Digital Humanities	12.0262900293663	dh
Psychology	4.95162312349532	ss
Pedagogical & Educational Research	1.6416353983909	ss
Library and Information Science	1.09390295063625	ah
Literature	0.79804708906355	ah
Interdisciplinary research in the Social Sciences	0.616554495670527	ss
Anthropology	0.604761077422233	ss
History	0.532349983763597	ah
Philosophy	0.513571391358939	ah
Musicology	0.48245000699202	ah
Interdisciplinary research in the Humanities	0.406843061654804	ah
Archaeology	0.393135663727181	ah
Media Studies and Communication	0.324792659719072	ah
History & Philosophy of Science	0.295840519585444	ah
Sociology	0.259844478423528	ss
Art and Art History	0.253834158471103	ah
Business and Management	0.219666247144917	ss
Human Geography and Urban Studies	0.211809042741775	ss
Environmental Studies	0.200045982042737	ss
Demography	0.153542133684768	ss
Science and Technology Studies	0.133071026302739	ss
Religious Studies and Theology	0.0992868130331402	ah
Political Sciences and International Relations	0.0853262574782378	ss
Gender Studies	0.0727406051219243	ss
Social Statistics and Informatics	0.072240373247224	ss
Economics	0.0696932769370177	ss
Classical Studies	0.0688783414358598	ah
Film and Theatre Studies	0.0331191069631594	ah
Cultural Studies	0.030089227692195	ah
Law	0.00559362326947269	ss
