discipline	perc	type
Linguistics	14.2667760713573	ah
COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	12.9149769263043	sc
COMPUTER SCIENCE, INFORMATION SYSTEMS	7.33184170046155	sc
COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	6.02829441103817	sc
Psychology	4.95162312349549	ss
LINGUISTICS	4.63804596093793	sc
ENGINEERING, ELECTRICAL & ELECTRONIC	4.51871533118917	sc
COMPUTER SCIENCE, THEORY & METHODS	4.44296834941506	sc
INFORMATION SCIENCE & LIBRARY SCIENCE	2.9012259357666	sc
COMPUTER SCIENCE, SOFTWARE ENGINEERING	2.81965226308679	sc
LANGUAGE & LINGUISTICS THEORY	2.43672213676413	sc
Pedagogical & Educational Research	1.64163539839096	ss
HUMANITIES, MULTIDISCIPLINARY	1.24458117745772	sc
MATHEMATICAL & COMPUTATIONAL BIOLOGY	1.14762504078685	sc
Library and Information Science	1.09390295063629	ah
MEDICAL INFORMATICS	1.08609518482265	sc
EDUCATION & EDUCATIONAL RESEARCH	1.01151354122968	sc
MULTIDISCIPLINARY SCIENCES	0.894979723115662	sc
Literature	0.798047089063578	ah
OPERATIONS RESEARCH & MANAGEMENT SCIENCE	0.765627185009102	sc
PSYCHOLOGY, EXPERIMENTAL	0.746981774110858	sc
TELECOMMUNICATIONS	0.741155083205158	sc
COMPUTER SCIENCE, CYBERNETICS	0.671234792336746	sc
PHYSICS, MULTIDISCIPLINARY	0.671234792336746	sc
THEATER	0.650258705076223	sc
Interdisciplinary research in the Social Sciences	0.616554495670549	ss
ENGINEERING, MULTIDISCIPLINARY	0.604810516011756	sc
Anthropology	0.604761077422254	ss
NEUROSCIENCES	0.594322472381494	sc
History	0.532349983763615	ah
Philosophy	0.513571391358956	ah
ACOUSTICS	0.50342609425256	sc
Musicology	0.482450006992036	ah
BIOCHEMICAL RESEARCH METHODS	0.436302615018885	sc
AUTOMATION & CONTROL SYSTEMS	0.434671141565289	sc
BIOTECHNOLOGY & APPLIED MICROBIOLOGY	0.426979909569763	sc
Interdisciplinary research in the Humanities	0.406843061654818	ah
Archaeology	0.393135663727195	ah
COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	0.389222952500821	sc
HEALTH CARE SCIENCES & SERVICES	0.35379667179416	sc
Media Studies and Communication	0.324792659719084	ah
MATHEMATICS, APPLIED	0.321633337994691	sc
PSYCHOLOGY, MULTIDISCIPLINARY	0.31464130890785	sc
History & Philosophy of Science	0.295840519585454	ah
STATISTICS & PROBABILITY	0.268960052207154	sc
GEOGRAPHY	0.268027781662242	sc
Sociology	0.259844478423537	ss
ROBOTICS	0.256374399850841	sc
Art and Art History	0.253834158471111	ah
MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	0.244721018039439	sc
BIOLOGY	0.223744930778915	sc
Business and Management	0.219666247144925	ss
LAW	0.216752901692074	sc
MANAGEMENT	0.212091548967514	sc
Human Geography and Urban Studies	0.211809042741782	ss
LITERATURE	0.202768843518392	sc
Environmental Studies	0.200045982042744	ss
ENVIRONMENTAL SCIENCES	0.19228079988813	sc
