discipline	perc	type
COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	17.5110707127215	sc
LINGUISTICS	9.03137090383665	sc
COMPUTER SCIENCE, INFORMATION SYSTEMS	7.83992914743888	sc
COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	6.70652123246192	sc
LANGUAGE & LINGUISTICS THEORY	6.4221787162637	sc
ENGINEERING, ELECTRICAL & ELECTRONIC	4.60261968023138	sc
COMPUTER SCIENCE, THEORY & METHODS	4.49191255302306	sc
INFORMATION SCIENCE & LIBRARY SCIENCE	3.50720178995958	sc
COMPUTER SCIENCE, SOFTWARE ENGINEERING	2.81965226308686	sc
PSYCHOLOGY, EXPERIMENTAL	2.74786743112862	sc
MULTIDISCIPLINARY SCIENCES	2.54509858761022	sc
EDUCATION & EDUCATIONAL RESEARCH	2.3213536568313	sc
PSYCHOLOGY, MULTIDISCIPLINARY	1.68158299538533	sc
HUMANITIES, MULTIDISCIPLINARY	1.50095557730859	sc
MATHEMATICAL & COMPUTATIONAL BIOLOGY	1.14762504078688	sc
MEDICAL INFORMATICS	1.08609518482268	sc
ACOUSTICS	0.936931897636731	sc
OPERATIONS RESEARCH & MANAGEMENT SCIENCE	0.87050762131174	sc
THEATER	0.839043490420953	sc
NEUROSCIENCES	0.798256654081046	sc
COMPUTER SCIENCE, CYBERNETICS	0.759800494103419	sc
TELECOMMUNICATIONS	0.745816435929737	sc
COMMUNICATION	0.692210879597287	sc
PHYSICS, MULTIDISCIPLINARY	0.671234792336763	sc
ENGINEERING, MULTIDISCIPLINARY	0.639770661445977	sc
LITERATURE	0.578007737845545	sc
BIOCHEMICAL RESEARCH METHODS	0.436302615018895	sc
AUTOMATION & CONTROL SYSTEMS	0.434671141565299	sc
BIOTECHNOLOGY & APPLIED MICROBIOLOGY	0.426979909569774	sc
HISTORY	0.417191068848196	sc
STATISTICS & PROBABILITY	0.408800633943987	sc
SOCIAL SCIENCES, INTERDISCIPLINARY	0.400876334312233	sc
COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	0.389222952500831	sc
MANAGEMENT	0.368246865240307	sc
HEALTH CARE SCIENCES & SERVICES	0.353796671794168	sc
BUSINEsc	0.32862536708154	sc
MATHEMATICS, APPLIED	0.32629469071926	sc
PSYCHOLOGY, EDUCATIONAL	0.307649279821016	sc
GEOGRAPHY	0.285507854379352	sc
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY	0.27618514893023	sc
ENVIRONMENTAL SCIENCES	0.27618514893023	sc
REHABILITATION	0.264531767118828	sc
MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	0.261035752575408	sc
ROBOTICS	0.256374399850847	sc
MUSIC	0.230736959865762	sc
PSYCHOLOGY, MATHEMATICAL	0.230736959865762	sc
BIOLOGY	0.223744930778921	sc
ENVIRONMENTAL STUDIES	0.21675290169208	sc
LAW	0.21675290169208	sc
BEHAVIORAL SCIENCES	0.210926210786378	sc
ANTHROPOLOGY	0.207430196242958	sc
ARCHAEOLOGY	0.205565655153133	sc
CLINICAL NEUROLOGY	0.195776814431556	sc
LITERATURE, GERMAN, DUTCH, SCANDINAVIAN	0.188784785344714	sc
PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	0.18575490607375	sc
POLITICAL SCIENCE	0.181792756257873	sc
ENGINEERING, BIOMEDICAL	0.171304712627611	sc
ERGONOMICS	0.149163287185947	sc
PSYCHOLOGY, DEVELOPMENTAL	0.149163287185947	sc
PHILOSOPHY	0.149163287185947	sc
GEOGRAPHY, PHYSICAL	0.149163287185947	sc
PSYCHOLOGY, SOCIAL	0.146832610823667	sc
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY	0.139840581736826	sc
SOCIOLOGY	0.135179229012265	sc
INSTRUMENTS & INSTRUMENTATION	0.128187199925423	sc
ENGINEERING, MANUFACTURING	0.127021861744283	sc
RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	0.125856523563143	sc
REMOTE SENSING	0.125856523563143	sc
FOOD SCIENCE & TECHNOLOGY	0.123525847200863	sc
CHEMISTRY, MULTIDISCIPLINARY	0.115368479932881	sc
PHARMACOLOGY & PHARMACY	0.114203141751741	sc
PHYSICS, CONDENSED MATTER	0.11187246538946	sc
RELIGION	0.11187246538946	sc
CLAscICS	0.11187246538946	sc
MATERIALS SCIENCE, MULTIDISCIPLINARY	0.10954178902718	sc
ASIAN STUDIES	0.1072111126649	sc
PSYCHIATRY	0.104880436302619	sc
BIOPHYSICS	0.102549759940339	sc
OPTICS	0.102083624667883	sc
GEOSCIENCES, MULTIDISCIPLINARY	0.100219083578058	sc
LOGIC	0.0978884072157779	sc
PHYSICS, MATHEMATICAL	0.0978884072157779	sc
MEDIEVAL & RENAIscANCE STUDIES	0.0978884072157779	sc
ENGINEERING, INDUSTRIAL	0.0978884072157778	sc
ART	0.0960238661259535	sc
PHYSICS, APPLIED	0.0955577308534974	sc
CHEMISTRY, ANALYTICAL	0.0936931897636731	sc
HOSPITALITY, LEISURE, SPORT & TOURISM	0.093227054491217	sc
LITERATURE, BRITISH ISLES	0.0908963781289366	sc
HISTORY OF SOCIAL SCIENCES	0.0908963781289366	sc
BIOCHEMISTRY & MOLECULAR BIOLOGY	0.0885657017666562	sc
GERIATRICS & GERONTOLOGY	0.0862350254043757	sc
LITERATURE, SLAVIC	0.0839043490420953	sc
DENTISTRY/ORAL SURGERY & MEDICINE	0.076912319955254	sc
PSYCHOLOGY, APPLIED	0.076912319955254	sc
REGIONAL & URBAN PLANNING	0.0757469817741138	sc
HISTORY & PHILOSOPHY OF SCIENCE	0.0745816435929736	sc
MATHEMATICS	0.0722509672306932	sc
PSYCHOLOGY, CLINICAL	0.0699202908684128	sc
LITERATURE, ROMANCE	0.0699202908684128	sc
MEDICINE, GENERAL & INTERNAL	0.0699202908684128	sc
ECOLOGY	0.0664242763249921	sc
GENETICS & HEREDITY	0.0652589381438519	sc
FOLKLORE	0.0629282617815715	sc
LITERARY REVIEWS	0.0629282617815715	sc
CULTURAL STUDIES	0.0629282617815715	sc
ENGINEERING, ENVIRONMENTAL	0.0605975854192911	sc
ENGINEERING, CIVIL	0.0594322472381508	sc
MEDICINE, RESEARCH & EXPERIMENTAL	0.0587330443294667	sc
EDUCATION, SCIENTIFIC DISCIPLINES	0.0559362326947302	sc
NUTRITION & DIETETICS	0.0559362326947302	sc
SOCIAL SCIENCES, MATHEMATICAL METHODS	0.0559362326947302	sc
CRIMINOLOGY & PENOLOGY	0.0559362326947302	sc
NURSING	0.0559362326947302	sc
DERMATOLOGY	0.0559362326947302	sc
SPECTROSCOPY	0.0540716916049059	sc
AREA STUDIES	0.0536055563324498	sc
ELECTROCHEMISTRY	0.0512748799701694	sc
ECONOMICS	0.0501095417890291	sc
ENGINEERING, MECHANICAL	0.0501095417890291	sc
GERONTOLOGY	0.0489442036078889	sc
CRITICAL CARE MEDICINE	0.0489442036078889	sc
BUSINEsc, FINANCE	0.0489442036078889	sc
ONCOLOGY	0.0489442036078889	sc
AGRICULTURE, MULTIDISCIPLINARY	0.0466135272456085	sc
MARINE & FRESHWATER BIOLOGY	0.0442828508833281	sc
BIODIVERSITY CONSERVATION	0.0442828508833281	sc
IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY	0.0431175127021879	sc
SOCIAL SCIENCES, BIOMEDICAL	0.0431175127021879	sc
NEUROIMAGING	0.0419521745210477	sc
OPHTHALMOLOGY	0.0419521745210477	sc
ARCHITECTURE	0.0419521745210477	sc
MECHANICS	0.0396214981587672	sc
CHEMISTRY, PHYSICAL	0.0396214981587672	sc
EDUCATION, SPECIAL	0.038456159977627	sc
