discipline	perc	type
Linguistics	25.9029408475898	ah
Digital Humanities	23.9516940623947	dh
Psychology	17.5668120317563	ss
Pedagogical & Educational Research	7.39405121323927	ss
Literature	4.61454289867565	ah
Anthropology	3.40255964543111	ss
Philosophy	2.30906854523086	ah
Musicology	1.50956055015093	ah
Art and Art History	1.46067954186033	ah
Archaeology	1.4401309302349	ah
Library and Information Science	1.38376383763835	ah
Media Studies and Communication	1.09125471420001	ah
History	0.989361192313203	ah
History & Philosophy of Science	0.958291401095811	ah
Interdisciplinary research in the Social Sciences	0.864820631677374	ss
Sociology	0.796051762170499	ss
Political Sciences and International Relations	0.699988818069986	ss
Interdisciplinary research in the Humanities	0.66396702928067	ah
Human Geography and Urban Studies	0.47960314313886	ss
Environmental Studies	0.472893985138189	ss
Business and Management	0.461254612546117	ss
Demography	0.325292509123432	ss
Economics	0.263791894117283	ss
Gender Studies	0.261976645740478	ss
Science and Technology Studies	0.184959287609402	ss
Classical Studies	0.178910880017888	ah
Film and Theatre Studies	0.172521205731535	ah
Cultural Studies	0.0769157042219759	ah
Social Statistics and Informatics	0.0709036015979981	ss
Religious Studies and Theology	0.0447277200044719	ah
Law	0.00670915800067079	ss
