discipline	perc	type
Other	63.914780292942	other
Linguistics	9.34713311544193	ah
Digital Humanities	8.64302142597739	dh
Psychology	6.33902271718508	ss
Pedagogical & Educational Research	2.66815962554974	ss
Literature	1.66516794346353	ah
Anthropology	1.22782112371749	ss
Philosophy	0.833232457733115	ah
Musicology	0.544728241133029	ah
Art and Art History	0.52708942189634	ah
Archaeology	0.519674410244554	ah
Library and Information Science	0.49933422103861	ah
Media Studies and Communication	0.393781661182698	ah
History	0.357013159942583	ah
History & Philosophy of Science	0.345801557519263	ah
Interdisciplinary research in the Social Sciences	0.312072425012743	ss
Sociology	0.287257027361128	ss
Political Sciences and International Relations	0.25259250292539	ss
Interdisciplinary research in the Humanities	0.239593961298353	ah
Human Geography and Urban Studies	0.173065847923611	ss
Environmental Studies	0.170644833518575	ss
Business and Management	0.166444740346203	ss
Demography	0.117382516607791	ss
Economics	0.0951898845616303	ss
Gender Studies	0.0945348481966314	ss
Science and Technology Studies	0.066742965302461	ss
Classical Studies	0.0645603841342849	ah
Film and Theatre Studies	0.062254656129489	ah
Cultural Studies	0.0277552008577305	ah
Social Statistics and Informatics	0.0255857204168544	ss
Religious Studies and Theology	0.0161400960335712	ah
Law	0.00242101440503568	ss
