discipline	perc	type
Linguistics	9.34713311544227	ah
Digital Humanities	8.64302142597769	dh
COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	7.9796634789979	sc
Psychology	6.3390227171853	ss
COMPUTER SCIENCE, INFORMATION SYSTEMS	4.01767340515685	sc
ENGINEERING, ELECTRICAL & ELECTRONIC	3.73623048057145	sc
COMPUTER SCIENCE, SOFTWARE ENGINEERING	3.68942420207409	sc
COMPUTER SCIENCE, THEORY & METHODS	3.48666424565234	sc
INFORMATION SCIENCE & LIBRARY SCIENCE	2.95545333494741	sc
Pedagogical & Educational Research	2.66815962554984	ss
LINGUISTICS	2.51180244522461	sc
PSYCHOLOGY, EXPERIMENTAL	2.36855909292666	sc
COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	2.29633216317642	sc
LANGUAGE & LINGUISTICS THEORY	1.98018803211884	sc
Literature	1.66516794346359	ah
PSYCHOLOGY, MULTIDISCIPLINARY	1.64830730742852	sc
STATISTICS & PROBABILITY	1.46491546624706	sc
Anthropology	1.22782112371754	ss
EDUCATION & EDUCATIONAL RESEARCH	1.11770165032485	sc
MULTIDISCIPLINARY SCIENCES	1.10156155429127	sc
PHYSICS, MULTIDISCIPLINARY	0.993624662066763	sc
LITERATURE	0.932090545938771	sc
Philosophy	0.833232457733143	ah
THEATER	0.82919743372475	sc
COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	0.684945325424703	sc
COMPUTER SCIENCE, CYBERNETICS	0.659726425372247	sc
HUMANITIES, MULTIDISCIPLINARY	0.627446233305103	sc
MATHEMATICS, APPLIED	0.610700883670273	sc
NEUROSCIENCES	0.566920873179209	sc
Musicology	0.544728241133048	ah
SOCIOLOGY	0.536658193116262	sc
Art and Art History	0.527089421896359	ah
Archaeology	0.519674410244572	ah
PSYCHOLOGY, SOCIAL	0.500342977040725	sc
Library and Information Science	0.499334221038627	ah
MEDICINE, GENERAL & INTERNAL	0.478150344994564	sc
AUTOMATION & CONTROL SYSTEMS	0.450913932937912	sc
MATHEMATICAL & COMPUTATIONAL BIOLOGY	0.402695396037616	sc
Media Studies and Communication	0.393781661182712	ah
