discipline	perc	type
Linguistics	9.34713311544225	ah
COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	8.63636363636384	sc
Psychology	6.33902271718529	ss
LINGUISTICS	5.38978331921087	sc
COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	4.992736956785	sc
COMPUTER SCIENCE, INFORMATION SYSTEMS	4.01767340515684	sc
ENGINEERING, ELECTRICAL & ELECTRONIC	3.73623048057144	sc
COMPUTER SCIENCE, SOFTWARE ENGINEERING	3.68942420207409	sc
COMPUTER SCIENCE, THEORY & METHODS	3.48666424565234	sc
LANGUAGE & LINGUISTICS THEORY	3.23003671871855	sc
INFORMATION SCIENCE & LIBRARY SCIENCE	2.95545333494741	sc
Pedagogical & Educational Research	2.66815962554983	ss
PSYCHOLOGY, EXPERIMENTAL	2.36855909292666	sc
Literature	1.66516794346359	ah
PSYCHOLOGY, MULTIDISCIPLINARY	1.64830730742852	sc
EDUCATION & EDUCATIONAL RESEARCH	1.53532663519351	sc
STATISTICS & PROBABILITY	1.46491546624706	sc
THEATER	1.24682241859342	sc
Anthropology	1.22782112371753	ss
MULTIDISCIPLINARY SCIENCES	1.10156155429127	sc
PHYSICS, MULTIDISCIPLINARY	0.993624662066762	sc
HUMANITIES, MULTIDISCIPLINARY	0.95428317798493	sc
LITERATURE	0.932090545938769	sc
Philosophy	0.833232457733142	ah
COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	0.684945325424702	sc
COMPUTER SCIENCE, CYBERNETICS	0.659726425372246	sc
MATHEMATICS, APPLIED	0.610700883670272	sc
NEUROSCIENCES	0.566920873179208	sc
Musicology	0.544728241133047	ah
SOCIOLOGY	0.536658193116261	sc
Art and Art History	0.527089421896358	ah
Archaeology	0.519674410244571	ah
PSYCHOLOGY, SOCIAL	0.500342977040725	sc
Library and Information Science	0.499334221038626	ah
MEDICINE, GENERAL & INTERNAL	0.478150344994563	sc
AUTOMATION & CONTROL SYSTEMS	0.450913932937911	sc
MATHEMATICAL & COMPUTATIONAL BIOLOGY	0.402695396037615	sc
Media Studies and Communication	0.393781661182711	ah
CULTURAL STUDIES	0.389379816809919	sc
PSYCHOLOGY, EDUCATIONAL	0.375257232780543	sc
SOCIAL SCIENCES, INTERDISCIPLINARY	0.369204696767954	sc
MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	0.359520639147811	sc
History	0.357013159942595	ah
CLINICAL NEUROLOGY	0.351047088730186	sc
History & Philosophy of Science	0.345801557519275	ah
ACOUSTICS	0.332889480692418	sc
HISTORY	0.318766896663042	sc
TELECOMMUNICATIONS	0.315740628656747	sc
Interdisciplinary research in the Social Sciences	0.312072425012754	ss
BIOLOGY	0.311705604648355	sc
MEDICAL INFORMATICS	0.302425049429051	sc
Sociology	0.287257027361137	ss
ANTHROPOLOGY	0.282451680587506	sc
POLITICAL SCIENCE	0.280434168583309	sc
BIOCHEMISTRY & MOLECULAR BIOLOGY	0.277407900577015	sc
PHYSICS, MATHEMATICAL	0.264697574950577	sc
BIOCHEMICAL RESEARCH METHODS	0.263487067748059	sc
Political Sciences and International Relations	0.252592502925398	ss
MATHEMATICS	0.252189000524559	sc
MANAGEMENT	0.250171488520362	sc
GEOGRAPHY	0.249162732518264	sc
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY	0.249162732518264	sc
OPERATIONS RESEARCH & MANAGEMENT SCIENCE	0.240487430900219	sc
Interdisciplinary research in the Humanities	0.239593961298361	ah
COMMUNICATION	0.236048904490987	sc
REHABILITATION	0.231005124480496	sc
BIOTECHNOLOGY & APPLIED MICROBIOLOGY	0.230198119678817	sc
PSYCHOLOGY, DEVELOPMENTAL	0.220917564459513	sc
EVOLUTIONARY BIOLOGY	0.215873784449022	sc
PSYCHIATRY	0.212847516442728	sc
PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	0.20578622442804	sc
ART	0.175523544365093	sc
PHILOSOPHY	0.175523544365093	sc
Human Geography and Urban Studies	0.173065847923617	ss
Environmental Studies	0.170644833518581	ss
GENETICS & HEREDITY	0.168462252350405	sc
Business and Management	0.166444740346209	ss
HEALTH CARE SCIENCES & SERVICES	0.163216721139494	sc
PSYCHOLOGY, CLINICAL	0.161400960335718	sc
HISTORY & PHILOSOPHY OF SCIENCE	0.157365936327325	sc
OPTICS	0.145664366702985	sc
BEHAVIORAL SCIENCES	0.142234596295851	sc
MUSIC	0.139208328289556	sc
BUSINESS	0.131138280272771	sc
LAW	0.128112012266476	sc
PHARMACOLOGY & PHARMACY	0.127103256264378	sc
PHYSICS, FLUIDS & PLASMAS	0.123471734656824	sc
RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	0.123471734656824	sc
PSYCHOLOGY, APPLIED	0.121050720251788	sc
PHYSICS, CONDENSED MATTER	0.119033208247592	sc
Demography	0.117382516607794	ss
ECONOMICS	0.11439293063794	sc
LOGIC	0.110963160230806	sc
MATERIALS SCIENCE, MULTIDISCIPLINARY	0.106928136222413	sc
ECOLOGY	0.106928136222413	sc
LITERATURE, BRITISH ISLES	0.10289311221402	sc
ASIAN STUDIES	0.100875600209824	sc
ENGINEERING, MULTIDISCIPLINARY	0.0988580882056271	sc
NURSING	0.0968405762014306	sc
ERGONOMICS	0.0968405762014306	sc
Economics	0.0951898845616335	ss
Gender Studies	0.0945348481966346	ss
FOLKLORE	0.0907880401888412	sc
CHEMISTRY, ANALYTICAL	0.0897792841867429	sc
ENVIRONMENTAL STUDIES	0.0807004801678588	sc
EDUCATION, SPECIAL	0.0796917241657606	sc
IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY	0.0790864705645016	sc
ROBOTICS	0.0766654561594659	sc
ENVIRONMENTAL SCIENCES	0.0766654561594659	sc
LITERATURE, ROMANCE	0.0766654561594659	sc
PHYSICS, APPLIED	0.0746479441552694	sc
LITERARY THEORY & CRITICISM	0.0726304321510729	sc
MEDICINE, RESEARCH & EXPERIMENTAL	0.0696041641447782	sc
FILM, RADIO, TELEVISION	0.06859540814268	sc
Science and Technology Studies	0.0667429653024632	ss
WOMENS STUDIES	0.0665778961384835	sc
LITERARY REVIEWS	0.0665778961384835	sc
NUTRITION & DIETETICS	0.0665778961384835	sc
CLASSICS	0.0665778961384835	sc
MEDIEVAL & RENAISSANCE STUDIES	0.0665778961384835	sc
ONCOLOGY	0.0655691401363853	sc
BIOPHYSICS	0.0645603841342871	sc
ENGINEERING, CHEMICAL	0.0645603841342871	sc
Classical Studies	0.0645603841342871	ah
REMOTE SENSING	0.0635516281321888	sc
PSYCHOLOGY, MATHEMATICAL	0.0625428721300906	sc
CHEMISTRY, MULTIDISCIPLINARY	0.0625428721300906	sc
SPECTROSCOPY	0.0625428721300906	sc
Film and Theatre Studies	0.0622546561294911	ah
SOIL SCIENCE	0.0605253601258941	sc
LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN	0.0605253601258941	sc
INSTRUMENTS & INSTRUMENTATION	0.0585078481216976	sc
GERONTOLOGY	0.0585078481216976	sc
ENGINEERING, BIOMEDICAL	0.0579025945204387	sc
GEOSCIENCES, MULTIDISCIPLINARY	0.0574990921195994	sc
ARCHAEOLOGY	0.0564903361175012	sc
SOCIAL SCIENCES, MATHEMATICAL METHODS	0.0564903361175012	sc
SOCIAL SCIENCES, BIOMEDICAL	0.0554815801154029	sc
ETHNIC STUDIES	0.0544728241133047	sc
IMMUNOLOGY	0.0524553121091082	sc
OPHTHALMOLOGY	0.0484202881007153	sc
CHEMISTRY, PHYSICAL	0.0484202881007153	sc
INTERNATIONAL RELATIONS	0.0484202881007153	sc
MECHANICS	0.0447887664931616	sc
SOCIAL ISSUES	0.0423677520881259	sc
ORTHOPEDICS	0.0423677520881259	sc
ETHICS	0.0403502400839294	sc
ENGINEERING, INDUSTRIAL	0.0403502400839294	sc
ZOOLOGY	0.0393414840818312	sc
HEMATOLOGY	0.0383327280797329	sc
GEOGRAPHY, PHYSICAL	0.0363152160755365	sc
ENDOCRINOLOGY & METABOLISM	0.0363152160755365	sc
TOXICOLOGY	0.0363152160755365	sc
REGIONAL & URBAN PLANNING	0.0363152160755365	sc
FORESTRY	0.03429770407134	sc
INFECTIOUS DISEASES	0.03429770407134	sc
SURGERY	0.03429770407134	sc
MEDICINE, LEGAL	0.0332889480692418	sc
ASTRONOMY & ASTROPHYSICS	0.0332889480692418	sc
ENGINEERING, MANUFACTURING	0.0312714360650453	sc
AGRICULTURE, MULTIDISCIPLINARY	0.0302626800629471	sc
PEDIATRICS	0.0302626800629471	sc
ENGINEERING, MECHANICAL	0.0302626800629471	sc
WATER RESOURCES	0.0282451680587506	sc
URBAN STUDIES	0.0282451680587506	sc
PSYCHOLOGY, BIOLOGICAL	0.0282451680587506	sc
EDUCATION, SCIENTIFIC DISCIPLINES	0.0282451680587506	sc
Cultural Studies	0.0277552008577314	ah
DEVELOPMENT STUDIES	0.0272364120566523	sc
PUBLIC ADMINISTRATION	0.0272364120566523	sc
CRYSTALLOGRAPHY	0.0262276560545541	sc
Social Statistics and Informatics	0.0255857204168552	ss
ARCHITECTURE	0.0242101440503576	sc
ENGINEERING, AEROSPACE	0.0242101440503576	sc
OTORHINOLARYNGOLOGY	0.0242101440503576	sc
ENTOMOLOGY	0.0242101440503576	sc
AREA STUDIES	0.0242101440503576	sc
HOSPITALITY, LEISURE, SPORT & TOURISM	0.0242101440503576	sc
NEUROIMAGING	0.0242101440503576	sc
LITERATURE, AMERICAN	0.0242101440503576	sc
DANCE	0.0242101440503576	sc
MEDICAL LABORATORY TECHNOLOGY	0.0242101440503576	sc
PATHOLOGY	0.0242101440503576	sc
RELIGION	0.0242101440503576	sc
SOCIAL WORK	0.0232013880482594	sc
GERIATRICS & GERONTOLOGY	0.0221926320461612	sc
CRIMINOLOGY & PENOLOGY	0.0221926320461612	sc
PHYSICS, PARTICLES & FIELDS	0.0211838760440629	sc
VIROLOGY	0.0201751200419647	sc
DEMOGRAPHY	0.0181576080377682	sc
INTEGRATIVE & COMPLEMENTARY MEDICINE	0.0181576080377682	sc
PRIMARY HEALTH CARE	0.0181576080377682	sc
RHEUMATOLOGY	0.0181576080377682	sc
FISHERIES	0.0181576080377682	sc
ENGINEERING, CIVIL	0.0175523544365093	sc
METEOROLOGY & ATMOSPHERIC SCIENCES	0.0161400960335718	sc
GEOCHEMISTRY & GEOPHYSICS	0.0161400960335718	sc
CHEMISTRY, MEDICINAL	0.0161400960335718	sc
Religious Studies and Theology	0.0161400960335718	ah
ELECTROCHEMISTRY	0.0161400960335718	sc
METALLURGY & METALLURGICAL ENGINEERING	0.0151313400314735	sc
CONSTRUCTION & BUILDING TECHNOLOGY	0.0151313400314735	sc
CHEMISTRY, ORGANIC	0.0151313400314735	sc
MARINE & FRESHWATER BIOLOGY	0.0141225840293753	sc
OCEANOGRAPHY	0.0141225840293753	sc
BUSINESS, FINANCE	0.0121050720251788	sc
PARASITOLOGY	0.0121050720251788	sc
PERIPHERAL VASCULAR DISEASE	0.0121050720251788	sc
CRITICAL CARE MEDICINE	0.0121050720251788	sc
FAMILY STUDIES	0.0121050720251788	sc
MATERIALS SCIENCE, CERAMICS	0.0121050720251788	sc
CARDIAC & CARDIOVASCULAR SYSTEMS	0.0121050720251788	sc
ENERGY & FUELS	0.0121050720251788	sc
FOOD SCIENCE & TECHNOLOGY	0.0121050720251788	sc
ANDROLOGY	0.0121050720251788	sc
HISTORY OF SOCIAL SCIENCES	0.0121050720251788	sc
LITERATURE, SLAVIC	0.0121050720251788	sc
POLYMER SCIENCE	0.0121050720251788	sc
MATERIALS SCIENCE, COMPOSITES	0.0121050720251788	sc
TRANSPORTATION SCIENCE & TECHNOLOGY	0.0114998184239199	sc
HEALTH POLICY & SERVICES	0.0100875600209824	sc
CELL BIOLOGY	0.0100875600209824	sc
CHEMISTRY, APPLIED	0.0100875600209824	sc
MICROBIOLOGY	0.0100875600209824	sc
PLANT SCIENCES	0.0100875600209824	sc
PHYSIOLOGY	0.00907880401888412	sc
ANESTHESIOLOGY	0.00807004801678588	sc
QUANTUM SCIENCE & TECHNOLOGY	0.00706129201468765	sc
TRANSPORTATION	0.0064560384134287	sc
MINERALOGY	0.00605253601258941	sc
GASTROENTEROLOGY & HEPATOLOGY	0.00605253601258941	sc
TRANSPLANTATION	0.00605253601258941	sc
BIODIVERSITY CONSERVATION	0.00605253601258941	sc
LITERATURE, GERMAN, DUTCH, SCANDINAVIAN	0.00605253601258941	sc
MATERIALS SCIENCE, PAPER & WOOD	0.00605253601258941	sc
AGRICULTURAL ENGINEERING	0.00605253601258941	sc
ENGINEERING, ENVIRONMENTAL	0.00605253601258941	sc
OBSTETRICS & GYNECOLOGY	0.00605253601258941	sc
MEDICAL ETHICS	0.00605253601258941	sc
MATERIALS SCIENCE, COATINGS & FILMS	0.00605253601258941	sc
PHYSICS, ATOMIC, MOLECULAR & CHEMICAL	0.00605253601258941	sc
VETERINARY SCIENCES	0.00605253601258941	sc
ENGINEERING, OCEAN	0.00605253601258941	sc
PSYCHOLOGY, PSYCHOANALYSIS	0.00605253601258941	sc
ANATOMY & MORPHOLOGY	0.00403502400839294	sc
THERMODYNAMICS	0.00403502400839294	sc
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY	0.00403502400839294	sc
MICROSCOPY	0.00403502400839294	sc
NANOSCIENCE & NANOTECHNOLOGY	0.00302626800629471	sc
Law	0.00242101440503576	ss
