discipline	perc	type
COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	10.9040471290808	sc
LINGUISTICS	8.68942420207429	sc
LANGUAGE & LINGUISTICS THEORY	5.82859218012365	sc
COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	5.77351410240909	sc
PSYCHOLOGY, EXPERIMENTAL	4.23072267280003	sc
COMPUTER SCIENCE, INFORMATION SYSTEMS	4.14679417342545	sc
ENGINEERING, ELECTRICAL & ELECTRONIC	3.88754388088621	sc
COMPUTER SCIENCE, SOFTWARE ENGINEERING	3.68942420207412	sc
COMPUTER SCIENCE, THEORY & METHODS	3.51390065770902	sc
EDUCATION & EDUCATIONAL RESEARCH	3.40354275107948	sc
INFORMATION SCIENCE & LIBRARY SCIENCE	3.25808013557691	sc
PSYCHOLOGY, MULTIDISCIPLINARY	3.08477585441643	sc
MULTIDISCIPLINARY SCIENCES	2.95363757414366	sc
THEATER	2.15268530847765	sc
STATISTICS & PROBABILITY	1.58596618649886	sc
LITERATURE	1.49699390711379	sc
HUMANITIES, MULTIDISCIPLINARY	1.21252471452209	sc
PHYSICS, MULTIDISCIPLINARY	0.993624662066771	sc
COMMUNICATION	0.985554614049985	sc
NEUROSCIENCES	0.894766573861143	sc
PSYCHOLOGY, SOCIAL	0.891740305854848	sc
ACOUSTICS	0.841302505749936	sc
PSYCHOLOGY, EDUCATIONAL	0.813057337691185	sc
SOCIOLOGY	0.75858451357788	sc
SOCIAL SCIENCES, INTERDISCIPLINARY	0.746479441552701	sc
COMPUTER SCIENCE, CYBERNETICS	0.744461929548505	sc
ANTHROPOLOGY	0.708146713472968	sc
COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	0.684945325424708	sc
MATHEMATICS, APPLIED	0.613727151676572	sc
CULTURAL STUDIES	0.542710729128855	sc
HISTORY	0.536658193116266	sc
PSYCHOLOGY, DEVELOPMENTAL	0.521526853084792	sc
POLITICAL SCIENCE	0.508413025057515	sc
MEDICINE, GENERAL & INTERNAL	0.478150344994568	sc
PHILOSOPHY	0.472097808981978	sc
ARCHAEOLOGY	0.462010248960996	sc
AUTOMATION & CONTROL SYSTEMS	0.450913932937915	sc
REHABILITATION	0.428721300891754	sc
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY	0.418633740870771	sc
MANAGEMENT	0.405519912843494	sc
MATHEMATICAL & COMPUTATIONAL BIOLOGY	0.402695396037619	sc
ART	0.397449864826708	sc
CLINICAL NEUROLOGY	0.393414840818315	sc
GEOGRAPHY	0.382318524795234	sc
MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	0.363555663156207	sc
BIOLOGY	0.325828188677733	sc
HISTORY & PHILOSOPHY OF SCIENCE	0.320784408667242	sc
PSYCHOLOGY, MATHEMATICAL	0.318766896663045	sc
TELECOMMUNICATIONS	0.31574062865675	sc
PSYCHOLOGY, CLINICAL	0.314731872654652	sc
OPERATIONS RESEARCH & MANAGEMENT SCIENCE	0.303030303030313	sc
MEDICAL INFORMATICS	0.302425049429053	sc
PSYCHIATRY	0.293547996610589	sc
BIOCHEMISTRY & MOLECULAR BIOLOGY	0.277407900577017	sc
PHYSICS, MATHEMATICAL	0.264697574950579	sc
BIOCHEMICAL RESEARCH METHODS	0.263487067748061	sc
MATHEMATICS	0.252189000524561	sc
PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	0.246136464511972	sc
BEHAVIORAL SCIENCES	0.242101440503579	sc
BIOTECHNOLOGY & APPLIED MICROBIOLOGY	0.230198119678819	sc
EVOLUTIONARY BIOLOGY	0.221926320461614	sc
MUSIC	0.217891296453221	sc
LITERATURE, BRITISH ISLES	0.191663640398666	sc
ECONOMICS	0.191058386797407	sc
BUSINEsc	0.18964612839447	sc
ERGONOMICS	0.187628616390274	sc
GEOSCIENCES, MULTIDISCIPLINARY	0.182584836379782	sc
GENETICS & HEREDITY	0.176532300367193	sc
EDUCATION, SPECIAL	0.176532300367193	sc
GERONTOLOGY	0.173506032360898	sc
HEALTH CARE SCIENCES & SERVICES	0.169269257152085	sc
PSYCHOLOGY, APPLIED	0.151313400314737	sc
WOMENS STUDIES	0.151313400314737	sc
MATERIALS SCIENCE, MULTIDISCIPLINARY	0.147278376306344	sc
OPTICS	0.145664366702986	sc
LOGIC	0.141225840293754	sc
ASIAN STUDIES	0.137190816285361	sc
RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	0.135576806682004	sc
CHEMISTRY, ANALYTICAL	0.130129524270674	sc
LAW	0.128112012266477	sc
PHARMACOLOGY & PHARMACY	0.127103256264379	sc
CLAscICS	0.127103256264379	sc
PHYSICS, FLUIDS & PLASMAS	0.123471734656825	sc
SOCIAL SCIENCES, BIOMEDICAL	0.120041964249691	sc
PHYSICS, CONDENSED MATTER	0.119033208247593	sc
