ut	level	doi
000087589500005	1	10.1023/A:1002402902356
000087589500027	1	10.1023/A:1002656922270
000088075200002	1	10.1023/A:1002027622271
000088075200005	1	10.1023/A:1002075505432
000167733600001	1	10.1023/A:1002497503122
000175684600002	2	10.1162/089120102317341756
000176756300004	1	10.1023/A:1016178200469
000185302500002	1	10.1023/A:1025779619903
000187353300003	1	10.1023/B:CHUM.0000009278.73498.f4
000207622400008	2	10.1080/09296170701514197
000207735300004	1	10.1093/llc/fqm040
000207735400002	1	10.1093/llc/fqn005
000209902300005	1	10.1145/2611375
000209902300006	1	10.1145/2627729
000209902300007	1	10.1145/2611374
000209902300008	1	10.1145/2611519
000209929400002	1	10.1145/2538030
000222533400004	2	10.1162/089120104323093294
000225838500005	1	10.1007/s10579-004-1367-y
000228836600004	2	10.1162/0891201053630264
000230227800002	2	10.1162/0891201054223986
000235356800002	2	10.1007/s10579-005-2692-5
000235356800003	2	10.1007/s10579-005-2693-4
000235356800005	2	10.1007/s10579-005-2695-2
000235356800007	2	10.1007/s10579-005-2697-0
000237100000003	2	10.1007/s10579-005-7880-9
000237977900004	2	10.1162/coli.2006.32.1.49
000239022500001	2	10.1007/s10579-005-4822-5
000240734900001	2	10.1162/coli.2006.32.3.295
000244448000002	2	10.1007/s10579-006-9011-7
000244448000003	2	10.1007/s10579-006-9012-6
000247471600004	2	10.1162/coli.2007.33.2.229
000249327800003	2	10.1162/coli.2007.33.3.305
000250467300014	2	10.1007/s10579-007-9025-9
000250722300001	2	10.1007/s10579-007-9028-6
000254203200002	2	10.1007/s10579-007-9052-6
000254203200005	2	10.1007/s10579-007-9058-0
000257139400006	2	10.1162/coli.2008.34.2.289
000258643400002	2	10.1162/coli.2008.07-004-R2-06-57
000260838500001	2	10.1007/s10579-008-9070-z
000263798100005	2	10.1007/s10579-008-9077-5
000272466300008	2	10.1162/coli.2009.35.4.35405
000274220500002	2	10.1080/09296170903395924
000275310400001	2	10.1162/coli.2010.36.1.36100
000275310400005	2	10.1162/coli.2010.36.1.36104
000276471100007	2	10.1007/s10579-009-9099-7
000276471100009	2	10.1007/s10579-009-9101-4
000279666800004	2	10.1162/coli.2010.36.2.09054
000281401300005	1	10.1080/13569783.2010.495270
000281744900005	2	10.1162/coli_a_00004
000281744900007	2	NULL
000281744900009	2	10.1162/coli_a_00009
000283876600005	1	10.1080/13569783.2010.512187
000284412200002	2	10.1080/09296174.2010.512161
000284754100002	1	10.1093/llc/fqp007
000284754800010	1	10.1093/llc/fqp023
000284755400001	1	10.1093/llc/fqn043
000284755400004	1	10.1093/llc/fqp002
000284755400007	1	10.1093/llc/fqp027
000284758300008	1	10.1093/llc/fqp040
000285382400004	2	10.1162/coli_a_00014
000287710000001	2	10.1080/09296174.2011.533586
000287710000003	2	10.1080/09296174.2011.533589
000288314500002	2	10.1162/coli_a_00034
000288314500007	2	10.1162/coli_a_00039
000288801500004	1	10.1093/llc/fqq027
000289850000002	2	10.1007/s10579-010-9131-y
000289850000003	2	10.1007/s10579-010-9132-x
000291029800001	2	10.1162/COLI_a_00049
000293709900005	2	10.1007/s10579-011-9159-7
000294122100004	1	10.1093/llc/fqr020
000295585600003	2	10.1080/09296174.2011.556005
000296132100006	1	10.1093/llc/fqr033
000298118200007	2	10.1162/COLI_a_00077
