id	doi	level	outgoing	incoming
000087589500001	10.1023/A:1002619001915	1	3	29
000087589500002	10.1023/A:1002693207386	1	3	51
000087589500003	10.1023/A:1002609006340	1	3	4
000087589500004	10.1023/A:1002419305990	1	0	2
000087589500005	10.1023/A:1002402902356	1	1	5
000087589500006	10.1023/A:1002407003264	1	0	7
000087589500007	10.1023/A:1002605522910	1	0	3
000087589500008	10.1023/A:1002486301447	1	1	10
000087589500009	10.1023/A:1002415205081	1	0	8
000087589500010	10.1023/A:1002463121011	1	2	6
000087589500011	10.1023/A:1002476823351	1	0	1
000087589500012	10.1023/A:1002423406899	1	1	3
000087589500013	10.1023/A:1002421902549	1	0	1
000087589500014	10.1023/A:1002450818285	1	1	3
000087589500015	10.1023/A:1002633105432	1	0	9
000087589500016	10.1023/A:1002463718479	1	0	9
000087589500017	10.1023/A:1002439708427	1	2	4
000087589500018	10.1023/A:1002661023178	1	3	0
000087589500019	10.1023/A:1002459020102	1	0	10
000087589500020	10.1023/A:1002674829964	1	1	30
000087589500021	10.1023/A:1002467221920	1	2	1
000087589500022	10.1023/A:1002423306513	1	0	0
000087589500023	10.1023/A:1002454919194	1	0	1
000087589500024	10.1023/A:1002471322828	1	0	28
000087589500025	10.1023/A:1002613125904	1	1	7
000087589500026	10.1023/A:1002475423737	1	4	9
000087589500027	10.1023/A:1002656922270	1	1	2
000165509000001	10.1023/A:1026591719273	1	2	1
000165509000002	10.1023/A:1026594916008	1	7	4
000165509000003	10.1023/A:1026475818476	1	1	0
000167733600001	10.1023/A:1002497503122	1	3	20
000167733600002	10.1023/A:1002485918032	1	9	59
000167733600003	10.1023/A:1002471112790	1	1	11
000167733600004	10.1023/A:1002433904577	1	1	2
000167733600005	10.1023/A:1002485208039	1	3	0
000167733600006	10.1023/A:1002681919510	1	6	84
000167733600007	10.1023/A:1002632712378	1	5	16
000167733600008	10.1023/A:1002620720223	1	0	2
000167734800001	10.1023/A:1002734515090	1	0	0
000167734800002	10.1023/A:1002747531928	1	3	0
000167734800003	10.1023/A:1002646129893	1	4	14
000167734800004	10.1023/A:1002629217152	1	8	21
000167734800005	10.1023/A:1002705506386	1	2	3
000167734800006	10.1023/A:1002751519919	1	3	0
000167734800007	10.1023/A:1002787826686	1	1	6
000088075200001	10.1023/A:1002771203624	1	0	0
000088075200002	10.1023/A:1002027622271	1	0	1
000088075200003	10.1023/A:1002630710402	1	0	1
000088075200004	10.1023/A:1002089109613	1	2	1
000088075200005	10.1023/A:1002075505432	1	0	4
000088075200006	10.1023/A:1002644326332	1	0	2
000088075200007	10.1023/A:1002448312963	1	5	1
000088075200008	10.1023/A:1002623823124	1	1	1
000169648000001	10.1023/A:1017563931115	1	4	4
000169648000002	10.1023/A:1017569003556	1	10	6
000169648000003	10.1023/A:1017507019909	1	3	4
000169648000004	10.1023/A:1017556818634	1	4	0
000169648000005	10.1023/A:1017549100097	1	2	22
000169648000006	10.1023/A:1017941320947	1	7	11
000169648000007	10.1023/A:1017901705018	1	1	0
000170991800001	10.1023/A:1011854206510	1	0	0
000170991800002	10.1023/A:1011851209975	1	5	0
000170991800003	10.1023/A:1011856202986	1	13	26
000170991800004	10.1023/A:1011877503081	1	0	3
000170991800005	10.1023/A:1011863023348	1	0	0
000172594900001	NULL	1	0	0
000172594900002	NULL	1	0	0
000172594900003	NULL	1	0	1
000172594900004	NULL	1	0	3
000172594900005	NULL	1	2	1
000172594900006	NULL	1	2	2
000172594900007	NULL	1	1	0
000172594900008	NULL	1	0	0
000174569000001	10.1023/A:1014321125006	1	0	0
000174569000002	10.1023/A:1014325032412	1	0	1
000174569000003	10.1023/A:1014344527505	1	2	3
000174569000004	10.1023/A:1014368121689	1	2	12
000174569000005	10.1023/A:1014348124664	1	3	200
000176756300001	10.1023/A:1016114816769	1	0	1
000176756300002	10.1023/A:1016134426453	1	4	1
000176756300003	10.1023/A:1016182301378	1	6	3
000176756300004	10.1023/A:1016178200469	1	0	4
000176756300005	10.1023/A:1016122115490	1	4	0
000176756300006	10.1023/A:1016160114582	1	3	1
000176756300007	10.1023/A:1016130317308	1	1	1
000176756300008	10.1023/A:1016174116399	1	5	7
000176756300009	10.1023/A:1016170031420	1	2	1
000177980500001	NULL	1	0	0
000177980500002	10.1023/A:1020271707826	1	5	27
000177980500003	10.1023/A:1020201615753	1	3	10
000177980500004	10.1023/A:1020260012525	1	4	2
000177980500005	10.1023/A:1020288124446	1	6	1
000180268700001	10.1023/A:1021811603951	1	0	1
000180268700002	10.1023/A:1021814530952	1	6	32
000180268700003	10.1023/A:1021803606361	1	2	2
000180268700004	10.1023/A:1021895322291	1	0	1
000180268700005	10.1023/A:1021859725926	1	0	2
000180268700006	10.1023/A:1021839220474	1	5	14
000180268700007	10.1023/A:1021818600001	1	8	5
000180268700008	10.1023/A:1021855607270	1	5	2
000180268700009	10.1023/A:1021826802727	1	1	0
000180268700010	10.1023/A:1021859830043	1	0	5
000181393800001	10.1023/A:1022676901423	1	0	0
000181393800002	10.1023/A:1022673822140	1	7	31
000181393800003	10.1023/A:1022604723049	1	8	3
000181393800004	10.1023/A:1022657227889	1	1	0
000181393800005	10.1023/A:1022617505636	1	0	1
000181393800006	10.1023/A:1022629013690	1	1	1
000184508600001	10.1023/A:1025011813155	1	0	1
000184508600002	10.1023/A:1025064105053	1	1	13
000184508600003	10.1023/A:1025067132504	1	1	3
000184508600004	10.1023/A:1025071200644	1	12	27
000184508600005	10.1023/A:1025087115665	1	0	7
000184508600006	10.1023/A:1025019216574	1	2	26
000184508600007	10.1023/A:1025042402655	1	2	22
000184508600008	10.1023/A:1025039611798	1	0	1
000185302500001	10.1023/A:1025720518994	1	1	6
000185302500002	10.1023/A:1025779619903	1	1	69
000185302500003	10.1023/A:1025786724466	1	10	7
000185302500004	10.1023/A:1025729107628	1	8	1
000185302500005	10.1023/A:1025746505971	1	1	9
000185302500006	10.1023/A:1025775401524	1	1	0
000207735300001	10.1093/llc/fqn007	1	0	0
000207735300002	10.1093/llc/fqm038	1	0	0
000207735300003	10.1093/llc/fqm039	1	1	1
000207735300004	10.1093/llc/fqm040	1	2	1
000207735300005	10.1093/llc/fqm041	1	0	8
000207735300006	10.1093/llc/fqm043	1	0	0
000207735300007	10.1093/llc/fqm044	1	2	10
000207735300008	10.1093/llc/fqm042	1	1	14
000207735300009	10.1093/llc/fqm045	1	17	19
000207735300010	10.1093/llc/fqm037	1	1	0
000207735300011	10.1093/llc/fqm025	1	8	4
000207735300012	10.1093/llc/fqm031	1	0	0
000207735300013	10.1093/llc/fqm032	1	0	0
000207735300014	10.1093/llc/fqm033	1	0	0
000207735300015	10.1093/llc/fqm034	1	1	0
000207735300016	10.1093/llc/fqm035	1	0	0
000207735300017	10.1093/llc/fqm036	1	0	0
000207735400001	10.1093/llc/fqn003	1	3	51
000207735400002	10.1093/llc/fqn005	1	6	2
000207735400003	10.1093/llc/fqn004	1	2	7
000207735400004	10.1093/llc/fqm029	1	9	15
000207735400005	10.1093/llc/fqm048	1	1	0
000207735400006	10.1093/llc/fqm046	1	1	3
000207735400007	10.1093/llc/fqn006	1	0	0
000207735400008	10.1093/llc/fqm049	1	0	0
000207735400009	10.1093/llc/fqm047	1	0	0
000207735400010	10.1093/llc/fqn002	1	0	0
000207735400011	10.1093/llc/fqn001	1	0	0
000207735500001	10.1093/llc/fqn025	1	0	0
000207735500002	10.1093/llc/fqn014	1	2	5
000207735500003	10.1093/llc/fqn021	1	2	1
000207735500004	10.1093/llc/fqn016	1	1	11
000207735500005	10.1093/llc/fqn013	1	3	5
000207735500006	10.1093/llc/fqn018	1	1	3
000207735500007	10.1093/llc/fqn015	1	14	28
000207735500008	10.1093/llc/fqn010	1	5	3
000207735500009	10.1093/llc/fqn020	1	2	19
000207735500010	10.1093/llc/fqn017	1	17	3
000207735600001	10.1093/llc/fqn011	1	0	1
000207735600002	10.1093/llc/fqn019	1	3	18
000207735600003	10.1093/llc/fqn022	1	12	7
000207735600004	10.1093/llc/fqn023	1	15	10
000207735600005	10.1093/llc/fqn040	1	7	26
000207735600006	10.1093/llc/fqn008	1	0	0
000207735600007	10.1093/llc/fqn009	1	0	0
000207735600008	10.1093/llc/fqn026	1	0	0
000207735600009	10.1093/llc/fqn027	1	0	0
000207735600010	10.1093/llc/fqn028	1	0	0
000207735600011	10.1093/llc/fqn029	1	0	1
000207735600012	10.1093/llc/fqn024	1	0	0
000209902300001	10.1145/2635671	1	0	0
000209902300002	10.1145/2611376	1	22	19
000209902300003	10.1145/2629485	1	4	0
000209902300004	10.1145/2614567	1	5	1
000209902300005	10.1145/2611375	1	2	11
000209902300006	10.1145/2627729	1	6	3
000209902300007	10.1145/2611374	1	11	0
000209902300008	10.1145/2611519	1	29	5
000209902300009	10.1145/2626289	1	2	0
000209902400001	10.1145/2567652	1	16	13
000209902400002	10.1145/2597178	1	21	3
000209902400003	10.1145/2558306	1	10	0
000209902400004	10.1145/2597179	1	3	0
000209902400005	10.1145/2597183	1	15	0
000209902600001	10.1145/2594443	1	25	1
000209902600002	10.1145/2622609	1	7	4
000209902600003	10.1145/2629484	1	18	1
000209902600004	10.1145/2629513	1	15	0
000209902600005	10.1145/2629514	1	47	2
000209902600006	10.1145/2637485	1	4	4
000209902600007	10.1145/2629682	1	3	4
000209929400001	10.1145/2533988	1	8	4
000209929400002	10.1145/2538030	1	18	1
000209929400003	10.1145/2583114	1	9	0
000209929400004	10.1145/2583115	1	32	0
000225838500001	10.1007/s10579-004-1919-1	1	6	9
000225838500002	10.1007/s10579-004-1926-2	1	1	22
000225838500003	10.1007/s10579-004-1917-3	1	6	12
000225838500004	10.1007/s10579-004-1948-9	1	9	1
